Year	Sampling #	plot	Ring	CO2 Treatment	Nitrogen Treatment	CountOfSpecies	CountOfGroup	Experiment	monospecies	Monogroup	Water Treatment 	Temp Treatment 	pH
1999	2	176	3	Cenrich	Nenrich	4	3	M					6.1
1999	2	177	3	Cenrich	Namb	9	4	M					5.1
1999	2	178	3	Cenrich	Namb	4	3	M					5.6
1999	2	179	3	Cenrich	Namb	16	4	M					5.6
1999	2	180	3	Cenrich	Nenrich	16	4	M					5
1999	2	181	3	Cenrich	Nenrich	4	1	S		Legume			5.9
1999	2	182	3	Cenrich	Namb	0	1	M					5.3
1999	2	183	3	Cenrich	Nenrich	1	1	M	Poa pratensis	C-3			5.3
1999	2	184	4	Camb	Namb	16	4	M					5.3
1999	2	185	4	Camb	Nenrich	9	4	M					5
1999	2	186	4	Camb	Nenrich	9	4	M					5.6
1999	2	187	4	Camb	Namb	9	4	M					5.3
1999	2	188	4	Camb	Namb	16	4	M					5.1
1999	2	189	4	Camb	Namb	4	3	M					5.9
1999	2	190	4	Camb	Namb	1	1	M	Lupinus perennis	Legume			6.1
1999	2	191	4	Camb	Namb	4	2	S					5
1999	2	192	4	Camb	Namb	1	1	M	Asclepias tuberosa	Forb			5.2
1999	2	193	4	Camb	Nenrich	4	3	M					5.1
1999	2	194	4	Camb	Nenrich	9	4	M					5.1
1999	2	195	4	Camb	Nenrich	1	1	M	Koeleria cristata	C-3			5.5
1999	2	196	4	Camb	Nenrich	1	1	M	Amorpha canescens	Legume			5.7
1999	2	197	4	Camb	Nenrich	4	2	M					5.3
1999	2	198	4	Camb	Namb	4	3	M					5.9
1999	2	199	4	Camb	Namb	1	1	M	Solidago rigida	Forb			4.9
1999	2	200	4	Camb	Namb	4	1	S		Forb			5.6
1999	2	201	4	Camb	Namb	16	4	M					5.1
1999	2	202	4	Camb	Namb	1	1	M	Bromus inermis	C-3			5.3
1999	2	203	4	Camb	Nenrich	4	4	S					5.4
1999	2	204	4	Camb	Nenrich	1	1	M	Bouteloua gracilis	C-4			6
1999	2	205	4	Camb	Nenrich	16	4	M					5.3
1999	2	206	4	Camb	Nenrich	4	2	M					5.2
1999	2	207	4	Camb	Nenrich	4	1	S		C-4			6
1999	2	208	4	Camb	Nenrich	1	1	M	Petalostemum villosum	Legume			5.2
1999	2	209	4	Camb	Namb	1	1	M	Amorpha canescens	Legume			5.2
1999	2	210	4	Camb	Nenrich	1	1	M	Achillea millefolium	Forb			4.9
1999	2	211	4	Camb	Namb	4	2	M					5.2
1999	2	212	4	Camb	Nenrich	1	1	M	Lupinus perennis	Legume			6.2
1999	2	213	4	Camb	Nenrich	16	4	M					5.2
1999	2	214	4	Camb	Nenrich	4	1	S		Forb			5.2
1999	2	215	4	Camb	Nenrich	4	1	S		C-3			5.1
1999	2	216	4	Camb	Namb	4	4	S					5.2
1999	2	217	4	Camb	Namb	0	1	M					5.9
1999	2	218	4	Camb	Nenrich	4	4	M					5.7
1999	2	219	4	Camb	Nenrich	1	1	M	Andropogon gerardi	C-4			5.8
1999	2	220	4	Camb	Namb	4	3	M					5.7
1999	2	221	4	Camb	Namb	4	1	S		C-4			5.9
1999	2	222	4	Camb	Namb	16	4	M					5
1999	2	223	4	Camb	Namb	1	1	M	Achillea millefolium	Forb			5.6
1999	2	224	4	Camb	Nenrich	9	4	M					5.4
1999	2	225	4	Camb	Nenrich	1	1	M	Agropyron repens	C-3			5.2
1999	2	226	4	Camb	Namb	9	4	M					5.3
1999	2	227	4	Camb	Namb	1	1	M	Bouteloua gracilis	C-4			5.9
1999	2	228	4	Camb	Namb	1	1	M	Poa pratensis	C-3			6
1999	2	229	4	Camb	Namb	1	1	M	Anemone cylindrica	Forb			6
1999	2	230	4	Camb	Namb	9	4	M					5.2
1999	2	231	4	Camb	Namb	1	1	M	Schizachyrium scoparium	C-4			5.9
1999	2	232	4	Camb	Nenrich	9	4	M					5.4
1999	2	233	4	Camb	Namb	9	4	M					5.2
1999	2	234	4	Camb	Nenrich	16	4	M					5.2
1999	2	235	4	Camb	Namb	1	1	M	Agropyron repens	C-3			5.5
1999	2	236	4	Camb	Nenrich	16	4	M					5.7
1999	2	237	4	Camb	Nenrich	1	1	M	Anemone cylindrica	Forb			5.2
1999	2	238	4	Camb	Nenrich	4	4	M					5.8
1999	2	239	4	Camb	Namb	4	3	M					5.8
1999	2	240	4	Camb	Nenrich	4	1	S		Legume			6.4
1999	2	241	4	Camb	Nenrich	1	1	M	Lespedeza capitata	Legume			5.8
1999	2	242	4	Camb	Namb	4	1	S		Legume			5.8
1999	2	243	4	Camb	Namb	9	3	M					5
1999	2	244	4	Camb	Namb	4	1	S		C-3			5.4
1999	2	245	5	Cenrich	Nenrich	9	4	M					4.8
1999	2	246	5	Cenrich	Nenrich	1	1	M	Poa pratensis	C-3			5.5
1999	2	247	5	Cenrich	Nenrich	4	1	S		C-4			5.1
1999	2	248	5	Cenrich	Namb	1	1	M	Asclepias tuberosa	Forb			5.1
1999	2	249	5	Cenrich	Nenrich	4	2	M					5.6
1999	2	250	5	Cenrich	Namb	16	4	M					4.7
1999	2	251	5	Cenrich	Nenrich	1	1	M	Andropogon gerardi	C-4			5.1
1999	2	252	5	Cenrich	Namb	1	1	M	Andropogon gerardi	C-4			5.1
1999	2	253	5	Cenrich	Nenrich	16	4	M					5
1999	2	254	5	Cenrich	Namb	1	1	M	Schizachyrium scoparium	C-4			5.4
1999	2	255	5	Cenrich	Namb	4	3	M					6.1
1999	2	256	5	Cenrich	Nenrich	1	1	M	Lespedeza capitata	Legume			6
1999	2	257	5	Cenrich	Namb	1	1	M	Achillea millefolium	Forb			5.1
1999	2	258	5	Cenrich	Nenrich	4	4	M					5.1
1999	2	259	5	Cenrich	Nenrich	4	3	M					4.9
1999	2	260	5	Cenrich	Nenrich	1	1	M	Koeleria cristata	C-3			4.9
1999	2	261	5	Cenrich	Namb	1	1	M	Koeleria cristata	C-3			5.4
1999	2	262	5	Cenrich	Nenrich	1	1	M	Lupinus perennis	Legume			5.6
1999	2	263	5	Cenrich	Namb	1	1	M	Bouteloua gracilis	C-4			6.3
1999	2	264	5	Cenrich	Namb	9	4	M					5
1999	2	265	5	Cenrich	Nenrich	1	1	M	Bouteloua gracilis	C-4			5.9
1999	2	266	5	Cenrich	Namb	1	1	M	Bromus inermis	C-3			5.2
1999	2	267	5	Cenrich	Nenrich	16	4	M					5.3
1999	2	268	5	Cenrich	Namb	4	1	S		C-3			5.6
1999	2	269	5	Cenrich	Namb	4	1	S		Legume			5.9
1999	2	270	5	Cenrich	Namb	16	4	M					5.4
1999	2	271	5	Cenrich	Nenrich	1	1	M	Anemone cylindrica	Forb			5.5
1999	2	272	5	Cenrich	Namb	16	4	M					5.5
1999	2	273	5	Cenrich	Nenrich	1	1	M	Sorghastrum nutans	C-4			5
1999	2	274	5	Cenrich	Namb	9	3	M					5.3
1999	2	275	5	Cenrich	Nenrich	16	4	M					5.2
1999	2	276	5	Cenrich	Nenrich	1	1	M	Achillea millefolium	Forb			5
1999	2	277	5	Cenrich	Namb	1	1	M	Sorghastrum nutans	C-4			5.6
1999	2	278	5	Cenrich	Namb	9	4	M					5.1
1999	2	279	5	Cenrich	Namb	1	1	M	Amorpha canescens	Legume			5.3
1999	2	280	5	Cenrich	Nenrich	9	4	M					4.7
1999	2	281	5	Cenrich	Namb	4	4	M					5.2
1999	2	282	5	Cenrich	Nenrich	9	4	M					5.8
1999	2	283	5	Cenrich	Namb	16	4	M					5.1
1999	2	284	5	Cenrich	Nenrich	0	1	M					6
1999	2	285	5	Cenrich	Nenrich	1	1	M	Petalostemum villosum	Legume			6.2
1999	2	286	5	Cenrich	Nenrich	4	4	S					4.7
1999	2	287	5	Cenrich	Nenrich	4	1	S		C-3			5.1
1999	2	288	5	Cenrich	Namb	4	4	M					5.5
1999	2	289	5	Cenrich	Namb	0	1	M					5.3
1999	2	290	5	Cenrich	Nenrich	4	3	M					4.9
1999	2	291	5	Cenrich	Namb	4	4	S					5.3
1999	2	292	5	Cenrich	Nenrich	4	4	M					5.8
1999	2	293	5	Cenrich	Nenrich	9	4	M					5
1999	2	294	5	Cenrich	Nenrich	9	4	M					5.2
1999	2	295	5	Cenrich	Namb	1	1	M	Petalostemum villosum	Legume			5.3
1999	2	296	5	Cenrich	Nenrich	4	1	S		Forb			5.3
1999	2	297	5	Cenrich	Namb	4	2	M					5.5
1999	2	298	5	Cenrich	Nenrich	4	1	S		Legume			6
1999	2	299	5	Cenrich	Namb	9	4	M					5
1999	2	300	5	Cenrich	Namb	9	4	M					4.9
1999	2	301	5	Cenrich	Nenrich	16	4	M					5
1999	2	302	5	Cenrich	Namb	4	1	S		Forb			5.4
1999	2	303	5	Cenrich	Namb	4	1	S		C-4			5.8
1999	2	304	5	Cenrich	Namb	1	1	M	Lespedeza capitata	Legume			5.5
1999	2	305	5	Cenrich	Namb	4	2	M					5.3
1999	2	306	6	Camb	Namb	16	4	M					4.6
1999	2	307	6	Camb	Nenrich	16	4	M					5.9
1999	2	308	6	Camb	Namb	9	4	M					5.9
1999	2	309	6	Camb	Namb	4	3	M					5.3
1999	2	310	6	Camb	Nenrich	1	1	M	Koeleria cristata	C-3			5
1999	2	311	6	Camb	Nenrich	16	4	M					5.6
1999	2	312	6	Camb	Namb	9	4	M					5.5
1999	2	313	6	Camb	Namb	4	1	S		Forb			4.7
1999	2	314	6	Camb	Namb	1	1	M	Solidago rigida	Forb			4.7
1999	2	315	6	Camb	Namb	4	1	S		C-4			5.8
1999	2	316	6	Camb	Nenrich	1	1	M	Amorpha canescens	Legume			5.4
1999	2	317	6	Camb	Nenrich	4	2	M					5.8
1999	2	318	6	Camb	Nenrich	1	1	M	Lespedeza capitata	Legume			5.7
1999	2	319	6	Camb	Nenrich	4	3	M					5.4
1999	2	320	6	Camb	Namb	9	4	M					5.2
1999	2	321	6	Camb	Nenrich	16	4	M					5.3
1999	2	322	6	Camb	Namb	1	1	M	Lespedeza capitata	Legume			5.6
1999	2	323	6	Camb	Namb	1	1	M	Bouteloua gracilis	C-4			5.7
1999	2	324	6	Camb	Nenrich	9	4	M					5
1999	2	325	6	Camb	Namb	4	3	M					5.2
1999	2	326	6	Camb	Nenrich	4	4	S					5.5
1999	2	327	6	Camb	Nenrich	1	1	M	Anemone cylindrica	Forb			6.1
1999	2	328	6	Camb	Nenrich	4	3	M					5.3
1999	2	329	6	Camb	Namb	1	1	M	Asclepias tuberosa	Forb			5.1
1999	2	330	6	Camb	Namb	1	1	M	Amorpha canescens	Legume			5.1
1999	2	331	6	Camb	Namb	1	1	M	Sorghastrum nutans	C-4			5.1
1999	2	332	6	Camb	Namb	4	4	M					5.2
1999	2	333	6	Camb	Nenrich	1	1	M	Poa pratensis	C-3			6
1999	2	334	6	Camb	Namb	4	3	M					5.4
1999	2	335	6	Camb	Nenrich	9	4	M					5.2
1999	2	336	6	Camb	Namb	1	1	M	Koeleria cristata	C-3			5.5
1999	2	337	6	Camb	Namb	4	2	S					5.4
1999	2	338	6	Camb	Nenrich	1	1	M	Solidago rigida	Forb			5.4
1999	2	339	6	Camb	Namb	1	1	M	Achillea millefolium	Forb			5.2
1999	2	340	6	Camb	Nenrich	4	1	S		C-3			5.7
1999	2	341	6	Camb	Nenrich	9	4	M					5
1999	2	342	6	Camb	Nenrich	1	1	M	Asclepias tuberosa	Forb			5.6
1999	2	343	6	Camb	Namb	1	1	M	Andropogon gerardi	C-4			5.7
1999	2	344	6	Camb	Namb	16	4	M					5.2
1999	2	345	6	Camb	Namb	1	1	M	Schizachyrium scoparium	C-4			6.2
1999	2	346	6	Camb	Namb	4	4	M					5.7
1999	2	347	6	Camb	Namb	1	1	M	Petalostemum villosum	Legume			5.8
1999	2	348	6	Camb	Nenrich	4	1	S		C-4			5.7
1999	2	349	6	Camb	Nenrich	1	1	M	Schizachyrium scoparium	C-4			6.7
1999	2	350	6	Camb	Nenrich	4	1	S		Legume			5.2
1999	2	351	6	Camb	Nenrich	4	1	S		Forb			4.8
1999	2	352	6	Camb	Nenrich	1	1	M	Bromus inermis	C-3			5.1
1999	2	353	6	Camb	Nenrich	4	3	M					5.1
1999	2	354	6	Camb	Nenrich	16	4	M					5.1
1999	2	355	6	Camb	Namb	16	4	M					5
1999	2	356	6	Camb	Namb	9	4	M					5.2
1999	2	357	6	Camb	Nenrich	9	4	M					4.7
1999	2	358	6	Camb	Namb	16	4	M					5.3
1999	2	359	6	Camb	Namb	4	4	S					4.9
1999	2	360	6	Camb	Nenrich	9	4	M					4.8
1999	2	361	6	Camb	Namb	9	4	M					5.2
1999	2	362	6	Camb	Nenrich	1	1	M	Sorghastrum nutans	C-4			5.9
1999	2	363	6	Camb	Namb	4	1	S		Legume			5.9
1999	2	364	6	Camb	Namb	4	1	S		C-3			4.9
1999	2	365	6	Camb	Nenrich	4	2	M					4.5
1999	2	366	6	Camb	Nenrich	1	1	M	Achillea millefolium	Forb			4.9
1999	2	367	2	Camb	Namb	0	1	M					5
1999	2	368	3	Cenrich	Nenrich	0	1	M					5.2
1999	2	369	4	Camb	Nenrich	0	1	M					5.8
1999	2	370	6	Camb	Namb	0	1	M					5.3
1999	2	371	6	Camb	Nenrich	0	1	M					4.9
2000	3	1	1	Cenrich	Namb	4	2	M					6.7
2000	3	2	1	Cenrich	Namb	1	1	M	Bouteloua gracilis	C-4			6.5
2000	3	3	1	Cenrich	Nenrich	4	1	S		Legume			6
2000	3	4	1	Cenrich	Namb	4	3	M					6
2000	3	5	1	Cenrich	Namb	1	1	M	Asclepias tuberosa	Forb			6.2
2000	3	6	1	Cenrich	Namb	4	1	S		C-4			6.3
2000	3	7	1	Cenrich	Namb	9	4	M					6.2
2000	3	8	1	Cenrich	Nenrich	1	1	M	Schizachyrium scoparium	C-4			5.8
2000	3	9	1	Cenrich	Namb	4	1	S		C-3			6.1
2000	3	10	1	Cenrich	Nenrich	4	3	M					6.6
2000	3	11	1	Cenrich	Nenrich	9	4	M					6.5
2000	3	12	1	Cenrich	Nenrich	9	4	M					7.1
2000	3	13	1	Cenrich	Nenrich	16	4	M					6.4
2000	3	14	1	Cenrich	Namb	4	4	S					6.4
2000	3	15	1	Cenrich	Namb	4	3	M					6.3
2000	3	16	1	Cenrich	Namb	9	4	M					6.7
2000	3	17	1	Cenrich	Namb	9	4	M					6
2000	3	18	1	Cenrich	Nenrich	1	1	M	Amorpha canescens	Legume			
2000	3	19	1	Cenrich	Namb	4	3	M					6.3
2000	3	20	1	Cenrich	Nenrich	4	1	S		Forb			6.9
2000	3	21	1	Cenrich	Nenrich	9	4	M					6.3
2000	3	22	1	Cenrich	Nenrich	1	1	M	Bromus inermis	C-3			6.2
2000	3	23	1	Cenrich	Namb	16	4	M					7
2000	3	24	1	Cenrich	Namb	1	1	M	Agropyron repens	C-3			6.3
2000	3	25	1	Cenrich	Nenrich	0	1	M					6
2000	3	26	1	Cenrich	Namb	9	4	M					6.8
2000	3	27	1	Cenrich	Namb	4	1	S		Forb			6.2
2000	3	28	1	Cenrich	Namb	4	2	M					6.4
2000	3	29	1	Cenrich	Nenrich	4	2	M					6
2000	3	30	1	Cenrich	Nenrich	16	4	M					6.5
2000	3	31	1	Cenrich	Nenrich	1	1	M	Asclepias tuberosa	Forb			6.1
2000	3	32	1	Cenrich	Nenrich	1	1	M	Bouteloua gracilis	C-4			6.2
2000	3	33	1	Cenrich	Namb	16	4	M					6.8
2000	3	34	1	Cenrich	Nenrich	9	4	M					7.1
2000	3	35	1	Cenrich	Namb	1	1	M	Lespedeza capitata	Legume			6
2000	3	36	1	Cenrich	Nenrich	1	1	M	Agropyron repens	C-3			6.3
