Block,Plot,Genotypic diversity,Trait diversity,Trt ID,Number high trait transplants,Initial CV height,Initial avg ht,Initial density,June CV height,Rep ,Oct stem density,Oct longest diameter,Oct Area,Oct Percent cover,Oct height 1,Oct height 2,Oct height 3,Oct height 4,Oct height 5,Oct height 6,Oct Avg. Height,Oct CV height,Oct Aboveground mass per stem,Oct Belowground mass per stem,Oct Tidal height,Oct Salinity,Oct Redox,Oct Temp,Oct Subsurface SOM,Oct Surface SOM,Oct Melongena abundance,Oct Terebra abundance,Oct Littoraria abundance,Oct. species richness,Oct species abundance,Oct fish abundance,Oct infaunal abundance
3,7,3,Low,LP4,4,0.093,18.67,30,0.533716549,0,33,155,10850,19.4,45,40,37,33,43,31,38.17,0.145,NA,NA,19,35,NA,NA,4.59,0.839,0,0,0,1,0,0,40
3,8,3,High,LP11,4,0.308,26.92,26,0.51861091,1,40,110,11000,38.52,50,31,29,36,32,32,35,0.22,0.15,0.62,18,35,NA,NA,0.568,0.612,0,0,0,1,0,0,52
3,9,6,High,HP2,4,0.238,20.75,39,0.539632731,1,51,125,14375,42.42,24,33,32,32,31,29,30.17,0.11,NA,NA,19,37,NA,NA,0.789,0.577,0,0,0,1,0,0,43
3,10,1,Low,M5,0,0.261,20.36,29,0.526813017,0,29,115,9200,35.82,41,38,36,26,34,36,35.17,0.144,0.11,0.42,18,34,NA,NA,0.564,0.799,0,0,0,1,0,0,32
3,11,6,High,HP8,4,0.279,25.25,31,0.505393169,2,77,165,12375,29.63,39,36,40,25,45,42,37.83,0.184,0.82,0.375,18,34,NA,NA,0.646,0.743,4,0,0,2,4,0,43
3,12,1,High,M10,6,0.289,25.34,28,0.523094152,3,59,175,16625,60,41,52,42,60,13,34,40.33,0.402,1.22,1.84,18.5,35,NA,NA,0.601,0.726,0,0,0,1,0,0,78
4,1,6,Low,HP7,2,0.202,21.75,38,0.522270194,2,76,185,19425,56.25,57,35,31,44,16,24,34.5,0.422,0.44,0.463333333,19,34,110.1,NA,0.689,0.751,0,0,0,1,0,0,27
4,2,1,High,M11,6,0.264,21.62,33,0.531705541,0,37,175,17500,28.13,40,34,35,31,30,35,34.17,0.104,NA,NA,19,34,122.8,NA,0.615,0.772,0,0,0,0,0,0,27
4,3,3,Low,LP5,0,0.19,23.17,28,0.566976394,0,48,195,19500,46.27,34,49,38,38,38,28,37.5,0.183,0.44,0.72,19,32,118.5,NA,0.616,0.801,0,0,0,1,0,0,43
4,4,6,Low,HP6,3,0.337,20.38,41,0.559203339,2,62,195,25350,39.13,40,23,55,57,37,32,40.67,0.325,NA,NA,20,33,-97,NA,0.448,0.651,0,0,0,1,0,0,63
4,5,3,High,LP8,0,0.22,23.48,27,0.546762029,0,33,165,23925,23.53,39,28,35,43,23,40,34.67,0.222,0.1,0.54,21,31,-85.2,NA,0.985,0.734,0,0,0,1,0,0,43
4,6,1,Low,M3,0,0.249,18,33,0.554216627,0,11,100,8000,16.3,33,31,20,20,34,40,29.67,0.272,NA,NA,20,32,25.3,NA,0.739,0.721,0,0,0,0,0,0,67
4,7,1,Low,M8,0,0.247,19.91,31,0.526056682,0,35,130,14300,33.85,30,28,39,40,26,28,31.83,0.191,0.09,0.51,20,32,107.1,NA,0.601,0.571,0,0,0,0,0,0,44
4,8,3,Low,LP4,4,0.219,19.25,30,0.565648613,0,27,100,10000,31.25,36,30,50,40,26,37,36.5,0.228,NA,NA,20,32,89.5,NA,0.375,0.519,0,1,0,2,1,0,53
4,9,6,High,HP9,4,0.289,21.87,36,0.546134369,0,49,170,17000,53.33,45,21,51,30,47,39,38.83,0.293,NA,NA,21,31,74.6,NA,0.505,1.21,0,0,0,1,0,0,62
4,10,3,High,LP10,2,0.296,22.21,35,0.517193622,1,38,155,19375,53.85,41,49,51,39,25,46,41.83,0.225,NA,NA,20,32,69.5,NA,0.617,0.561,0,0,0,1,0,0,69
4,11,1,High,M1,6,0.15,23.98,29,0.55632217,3,46,145,15950,45.45,49,50,65,36,19,42,43.5,0.355,NA,NA,20.5,33,42.9,NA,0.528,1.005,0,0,0,2,1,0,107
4,12,6,High,HP2,4,0.288,21.29,27,0.544036184,0,23,105,8400,18.84,24,26,46,36,14,28,29,0.377,NA,NA,20,33,31.5,NA,0.549,0.505,0,0,0,1,0,0,96
5,1,6,High,HP8,4,0.25,25.25,29,0.557569665,1,53,220,19800,50,55,34,44,15,45,33,37.67,0.365,NA,NA,20,31,1.9,NA,0.708,0.63,0,0,0,1,0,0,69
5,2,6,High,HP4,3,0.376,21.14,34,0.583569499,1,28,120,12600,28.79,52,56,29,50,43,23,42.17,0.317,NA,NA,20,31,0.8,NA,2.333,0.894,0,0,0,1,0,0,68
5,3,1,High,M2,6,0.382,23.08,25,0.55983852,0,32,180,27000,24.24,38,40,28,35,39,40,36.67,0.126,NA,NA,20,31,-21.5,NA,1.148,0.707,0,0,0,0,0,0,67
5,4,3,High,LP7,6,0.227,29.02,38,0.54330539,2,71,150,22500,50,50,32,30,55,43,43,42.17,0.232,NA,NA,21,32,27.4,NA,0.481,0.498,0,0,0,1,0,0,35
5,5,1,Low,M5,0,0.166,20.51,26,0.517543066,0,16,120,9600,17.65,15,30,33,36,20,28,27,0.296,NA,NA,20,31,10.7,NA,0.413,0.657,0,0,0,1,0,0,48
5,6,3,Low,LP3,4,0.144,18.49,34,0.5345459,0,27,100,10000,38.81,35,24,30,31,24,38,30.33,0.187,NA,NA,19.5,31,3.4,NA,0.514,1.102,0,0,0,1,0,0,73
5,7,3,Low,LP1,0,0.233,21.56,32,0.550144517,0,10,65,3900,18.05,50,30,34,25,25,20,30.67,0.346,NA,NA,20,31,37.2,NA,0.442,0.364,0,0,0,0,0,0,66
5,8,1,High,M9,6,0.096,18.41,27,0.53093276,0,12,100,8500,13.24,23,31,33,31,35,10,27.17,0.344,NA,NA,20,32,-5.6,NA,0.509,0.541,0,0,0,0,0,0,47
5,9,6,Low,HP11,2,0.167,21.45,40,0.531561359,0,35,165,16500,33.33,28,29,24,41,3,54,29.83,0.574,NA,NA,20,31,-51.6,NA,0.537,0.466,0,0,0,1,0,0,73
5,10,3,High,LP11,4,0.323,21.64,44,0.524675931,1,41,165,27225,40,38,32,24,45,56,38,38.83,0.282,NA,NA,20,32,-43.7,NA,0.541,0.574,0,0,0,1,0,0,47
5,11,6,Low,HP3,3,0.234,22.01,27,0.530500442,0,11,95,3325,12.03,22,34,26,41,16,27,27.67,0.319,NA,NA,20,33,180.8,NA,1.086,0.546,0,0,0,0,0,0,75
5,12,1,Low,M12,0,0.168,15.95,50,0.542482359,2,25,200,16000,25,35,33,35,70,50,33,42.67,0.348,NA,NA,21,32,36.6,NA,0.889,0.746,1,0,0,2,1,0,68
6,1,1,High,M6,6,0.17,18.28,45,0.504110439,0,72,170,20400,60.87,37,44,39,37,55,34,41,0.186,NA,NA,21,31,-0.5,NA,1.188,0.625,0,0,0,1,0,0,88
6,2,6,High,HP5,3,0.268,17.77,39,0.518136074,1,65,180,26100,60.15,33,38,34,37,20,47,34.83,0.253,0.22,0.38,20,31,6.6,NA,0.56,0.723,0,0,0,1,0,0,64
6,3,1,Low,M4,0,0.132,24.05,30,0.507170325,5,61,155,12400,74.24,41,47,49,39,34,31,40.17,0.176,NA,NA,19,30,27.5,NA,0.633,0.562,0,0,0,1,0,0,57
6,4,6,High,HP10,3,0.226,22.86,37,0.537652214,1,29,100,5000,29.23,52,41,56,22,28,35,39,0.342,NA,NA,20.5,30,30.2,NA,0.553,0.757,0,0,0,0,0,0,42
6,5,3,Low,LP9,2,0.104,21.06,34,0.519418243,5,75,205,29725,63.57,50,46,32,50,55,25,43,0.274,NA,NA,20,30,12.3,NA,0.49,0.598,0,1,0,2,1,0,79
6,6,3,High,LP6,4,0.17,21.82,35,0.548901586,1,38,135,12150,35.94,25,25,49,47,65,50,43.5,0.361,NA,NA,21,31,28.1,NA,0.529,0.516,1,0,0,3,2,0,73
6,7,6,Low,HP12,3,0.18,19.85,51,0.532843811,3,69,200,30000,41.54,41,54,47,52,45,29,44.67,0.202,NA,NA,22.5,31,-3.2,NA,0.511,0.608,0,0,0,2,1,0,72
6,8,1,Low,M7,0,0.256,23.1,31,0.531811651,4,41,160,16000,32.31,12,29,36,47,45,30,33.17,0.385,NA,NA,21,31,21.4,NA,0.869,0.581,0,0,0,1,0,0,82
6,9,3,High,LP12,4,0.303,18.97,27,0.538409363,0,33,145,11600,40.3,45,40,30,47,55,23,40,0.293,NA,NA,21.5,31,34.4,NA,0.6,0.644,0,0,0,1,0,0,67
6,10,6,Low,HP1,2,0.26,18.47,28,0.532189577,3,35,135,15525,24.24,36,43,46,36,33,23,36.17,0.224,NA,NA,20,31,32.1,NA,0.597,0.914,0,0,0,1,0,0,62
6,11,3,Low,LP2,6,0.255,18.8,35,0.529402446,0,30,100,9000,31.82,18,39,58,57,38,23,38.83,0.428,NA,NA,21.5,31,12.2,NA,0.554,0.613,0,0,0,1,0,0,76
6,12,1,High,M10,6,0.313,29.17,35,0.564093225,0,24,135,16200,20.29,60,34,25,30,35,40,37.33,0.327,NA,NA,21,32,41.1,NA,0.8,0.718,0,0,0,2,1,0,68
