538_Reich_et_al-2016-mre141_Nitrogen_mineralization_rate,Date,Plot,Ring,CO2 Treatment,Nitrogen Treatment,CountOfSpecies,CountOfGroup,Experiment,monospecies,Monogroup,Water Treatment ,Temp Treatment ,Depth,Sub Sample,Mass (g/m2)
1,6/22/1998,11,1,Cenrich,Nenrich,9,4,M,,,,,0-20,Crowns,0
1,6/22/1998,11,1,Cenrich,Nenrich,9,4,M,,,,,0-20,Fine,1301.54
1,6/22/1998,12,1,Cenrich,Nenrich,9,4,M,,,,,0-20,Coarse,120.12
1,6/22/1998,12,1,Cenrich,Nenrich,9,4,M,,,,,0-20,Crowns,74.04
1,6/22/1998,12,1,Cenrich,Nenrich,9,4,M,,,,,0-20,Fine,1322.93
1,6/22/1998,13,1,Cenrich,Nenrich,16,4,M,,,,,0-20,Coarse,269.85
1,6/22/1998,13,1,Cenrich,Nenrich,16,4,M,,,,,0-20,Crowns,27.97
1,6/22/1998,13,1,Cenrich,Nenrich,16,4,M,,,,,0-20,Fine,1048.14
1,6/22/1998,14,1,Cenrich,Namb,4,4,S,,,,,0-20,Coarse,49.36
1,6/22/1998,14,1,Cenrich,Namb,4,4,S,,,,,0-20,Crowns,82.27
1,6/22/1998,14,1,Cenrich,Namb,4,4,S,,,,,0-20,Fine,1860.99
1,6/22/1998,15,1,Cenrich,Namb,4,3,M,,,,,0-20,Coarse,468.95
1,6/22/1998,15,1,Cenrich,Namb,4,3,M,,,,,0-20,Crowns,55.94
1,6/22/1998,15,1,Cenrich,Namb,4,3,M,,,,,0-20,Fine,1030.04
1,6/22/1998,16,1,Cenrich,Namb,9,4,M,,,,,0-20,Coarse,297.82
1,6/22/1998,16,1,Cenrich,Namb,9,4,M,,,,,0-20,Crowns,0
1,6/22/1998,16,1,Cenrich,Namb,9,4,M,,,,,0-20,Fine,672.98
1,6/22/1998,17,1,Cenrich,Namb,9,4,M,,,,,0-20,Coarse,245.17
1,6/22/1998,17,1,Cenrich,Namb,9,4,M,,,,,0-20,Crowns,59.24
1,6/22/1998,17,1,Cenrich,Namb,9,4,M,,,,,0-20,Fine,745.38
1,6/22/1998,18,1,Cenrich,Nenrich,1,1,M,Amorpha canescens,Legume,,,0-20,Coarse,0
1,6/22/1998,18,1,Cenrich,Nenrich,1,1,M,Amorpha canescens,Legume,,,0-20,Crowns,0
1,6/22/1998,18,1,Cenrich,Nenrich,1,1,M,Amorpha canescens,Legume,,,0-20,Fine,21.39
1,6/22/1998,18,1,Cenrich,Nenrich,1,1,M,Amorpha canescens,Legume,,,0-20,Fine,113.54
1,6/22/1998,19,1,Cenrich,Namb,4,3,M,,,,,0-20,Coarse,184.29
1,6/22/1998,19,1,Cenrich,Namb,4,3,M,,,,,0-20,Crowns,6.58
1,6/22/1998,19,1,Cenrich,Namb,4,3,M,,,,,0-20,Fine,1276.86
1,6/22/1998,20,1,Cenrich,Nenrich,4,1,S,,Forb,,,0-20,Coarse,77.34
1,6/22/1998,20,1,Cenrich,Nenrich,4,1,S,,Forb,,,0-20,Crowns,162.9
1,6/22/1998,20,1,Cenrich,Nenrich,4,1,S,,Forb,,,0-20,Fine,1512.16
1,6/22/1998,21,1,Cenrich,Nenrich,9,4,M,,,,,0-20,Coarse,13.16
1,6/22/1998,21,1,Cenrich,Nenrich,9,4,M,,,,,0-20,Crowns,4.94
1,6/22/1998,21,1,Cenrich,Nenrich,9,4,M,,,,,0-20,Fine,618.68
1,6/22/1998,22,1,Cenrich,Nenrich,1,1,M,Bromus inermis,C-3,,,0-20,Coarse,62.53
1,6/22/1998,22,1,Cenrich,Nenrich,1,1,M,Bromus inermis,C-3,,,0-20,Crowns,0
1,6/22/1998,22,1,Cenrich,Nenrich,1,1,M,Bromus inermis,C-3,,,0-20,Fine,21.39
1,6/22/1998,22,1,Cenrich,Nenrich,1,1,M,Bromus inermis,C-3,,,0-20,Fine,47.72
1,6/22/1998,22,1,Cenrich,Nenrich,1,1,M,Bromus inermis,C-3,,,0-20,Fine,806.26
1,6/22/1998,23,1,Cenrich,Namb,16,4,M,,,,,0-20,Coarse,174.42
1,6/22/1998,23,1,Cenrich,Namb,16,4,M,,,,,0-20,Crowns,677.92
1,6/22/1998,23,1,Cenrich,Namb,16,4,M,,,,,0-20,Fine,64.17
1,6/22/1998,24,1,Cenrich,Namb,1,1,M,Agropyron repens,C-3,,,0-20,Coarse,159.61
1,6/22/1998,24,1,Cenrich,Namb,1,1,M,Agropyron repens,C-3,,,0-20,Crowns,0
1,6/22/1998,24,1,Cenrich,Namb,1,1,M,Agropyron repens,C-3,,,0-20,Fine,13.16
1,6/22/1998,24,1,Cenrich,Namb,1,1,M,Agropyron repens,C-3,,,0-20,Fine,212.26
1,6/22/1998,24,1,Cenrich,Namb,1,1,M,Agropyron repens,C-3,,,0-20,Fine,697.67
1,6/22/1998,25,1,Cenrich,Nenrich,0,1,M,,,,,0-20,Coarse,0
1,6/22/1998,25,1,Cenrich,Nenrich,0,1,M,,,,,0-20,Crowns,0
1,6/22/1998,25,1,Cenrich,Nenrich,0,1,M,,,,,0-20,Fine,208.97
1,6/22/1998,26,1,Cenrich,Namb,9,4,M,,,,,0-20,Coarse,200.74
1,6/22/1998,26,1,Cenrich,Namb,9,4,M,,,,,0-20,Crowns,19.75
1,6/22/1998,26,1,Cenrich,Namb,9,4,M,,,,,0-20,Fine,855.63
1,6/22/1998,27,1,Cenrich,Namb,4,1,S,,Forb,,,0-20,Coarse,161.25
1,6/22/1998,27,1,Cenrich,Namb,4,1,S,,Forb,,,0-20,Crowns,0
1,6/22/1998,27,1,Cenrich,Namb,4,1,S,,Forb,,,0-20,Fine,775
1,6/22/1998,28,1,Cenrich,Namb,4,2,M,,,,,0-20,Coarse,783.23
1,6/22/1998,28,1,Cenrich,Namb,4,2,M,,,,,0-20,Crowns,23.04
1,6/22/1998,28,1,Cenrich,Namb,4,2,M,,,,,0-20,Fine,118.47
1,6/22/1998,29,1,Cenrich,Nenrich,4,2,M,,,,,0-20,Coarse,24.68
1,6/22/1998,29,1,Cenrich,Nenrich,4,2,M,,,,,0-20,Crowns,4.94
1,6/22/1998,29,1,Cenrich,Nenrich,4,2,M,,,,,0-20,Fine,649.95
1,6/22/1998,30,1,Cenrich,Nenrich,16,4,M,,,,,0-20,Coarse,393.26
1,6/22/1998,30,1,Cenrich,Nenrich,16,4,M,,,,,0-20,Crowns,34.55
1,6/22/1998,30,1,Cenrich,Nenrich,16,4,M,,,,,0-20,Fine,710.83
1,6/22/1998,31,1,Cenrich,Nenrich,1,1,M,Asclepias tuberosa,Forb,,,0-20,Coarse,0
1,6/22/1998,31,1,Cenrich,Nenrich,1,1,M,Asclepias tuberosa,Forb,,,0-20,Crowns,0
1,6/22/1998,31,1,Cenrich,Nenrich,1,1,M,Asclepias tuberosa,Forb,,,0-20,Fine,16.45
1,6/22/1998,31,1,Cenrich,Nenrich,1,1,M,Asclepias tuberosa,Forb,,,0-20,Fine,74.04
1,6/22/1998,31,1,Cenrich,Nenrich,1,1,M,Asclepias tuberosa,Forb,,,0-20,Fine,102.02
1,6/22/1998,32,1,Cenrich,Nenrich,1,1,M,Bouteloua gracilis,C-4,,,0-20,Coarse,0
1,6/22/1998,32,1,Cenrich,Nenrich,1,1,M,Bouteloua gracilis,C-4,,,0-20,Crowns,64.17
1,6/22/1998,32,1,Cenrich,Nenrich,1,1,M,Bouteloua gracilis,C-4,,,0-20,Fine,18.1
1,6/22/1998,32,1,Cenrich,Nenrich,1,1,M,Bouteloua gracilis,C-4,,,0-20,Fine,131.64
1,6/22/1998,32,1,Cenrich,Nenrich,1,1,M,Bouteloua gracilis,C-4,,,0-20,Fine,566.03
1,6/22/1998,33,1,Cenrich,Namb,16,4,M,,,,,0-20,Coarse,220.49
1,6/22/1998,33,1,Cenrich,Namb,16,4,M,,,,,0-20,Crowns,19.75
1,6/22/1998,33,1,Cenrich,Namb,16,4,M,,,,,0-20,Fine,873.73
1,6/22/1998,34,1,Cenrich,Nenrich,9,4,M,,,,,0-20,Coarse,312.63
1,6/22/1998,34,1,Cenrich,Nenrich,9,4,M,,,,,0-20,Crowns,60.88
1,6/22/1998,34,1,Cenrich,Nenrich,9,4,M,,,,,0-20,Fine,1127.13
1,6/22/1998,35,1,Cenrich,Namb,1,1,M,Lespedeza capitata,Legume,,,0-20,Coarse,87.21
1,6/22/1998,35,1,Cenrich,Namb,1,1,M,Lespedeza capitata,Legume,,,0-20,Crowns,0
1,6/22/1998,35,1,Cenrich,Namb,1,1,M,Lespedeza capitata,Legume,,,0-20,Fine,16.45
1,6/22/1998,35,1,Cenrich,Namb,1,1,M,Lespedeza capitata,Legume,,,0-20,Fine,115.18
1,6/22/1998,35,1,Cenrich,Namb,1,1,M,Lespedeza capitata,Legume,,,0-20,Fine,289.6
1,6/22/1998,36,1,Cenrich,Nenrich,1,1,M,Agropyron repens,C-3,,,0-20,Coarse,87.21
1,6/22/1998,36,1,Cenrich,Nenrich,1,1,M,Agropyron repens,C-3,,,0-20,Coarse,437.69
1,6/22/1998,36,1,Cenrich,Nenrich,1,1,M,Agropyron repens,C-3,,,0-20,Crowns,16.45
1,6/22/1998,36,1,Cenrich,Nenrich,1,1,M,Agropyron repens,C-3,,,0-20,Fine,21.39
1,6/22/1998,36,1,Cenrich,Nenrich,1,1,M,Agropyron repens,C-3,,,0-20,Fine,123.41
1,6/22/1998,36,1,Cenrich,Nenrich,1,1,M,Agropyron repens,C-3,,,0-20,Fine,549.58
1,6/22/1998,37,1,Cenrich,Nenrich,1,1,M,Petalostemum villosum,Legume,,,0-20,Coarse,10.53
1,6/22/1998,37,1,Cenrich,Nenrich,1,1,M,Petalostemum villosum,Legume,,,0-20,Crowns,6.58
1,6/22/1998,37,1,Cenrich,Nenrich,1,1,M,Petalostemum villosum,Legume,,,0-20,Fine,16.45
1,6/22/1998,37,1,Cenrich,Nenrich,1,1,M,Petalostemum villosum,Legume,,,0-20,Fine,37.85
1,6/22/1998,37,1,Cenrich,Nenrich,1,1,M,Petalostemum villosum,Legume,,,0-20,Fine,59.24
1,6/22/1998,38,1,Cenrich,Nenrich,4,2,M,,,,,0-20,Coarse,11.52
1,6/22/1998,38,1,Cenrich,Nenrich,4,2,M,,,,,0-20,Crowns,59.24
1,6/22/1998,38,1,Cenrich,Nenrich,4,2,M,,,,,0-20,Fine,436.04
1,6/22/1998,39,1,Cenrich,Namb,1,1,M,Bromus inermis,C-3,,,0-20,Coarse,64.17
1,6/22/1998,39,1,Cenrich,Namb,1,1,M,Bromus inermis,C-3,,,0-20,Crowns,3.29
1,6/22/1998,39,1,Cenrich,Namb,1,1,M,Bromus inermis,C-3,,,0-20,Fine,16.45
1,6/22/1998,39,1,Cenrich,Namb,1,1,M,Bromus inermis,C-3,,,0-20,Fine,67.46
1,6/22/1998,39,1,Cenrich,Namb,1,1,M,Bromus inermis,C-3,,,0-20,Fine,779.94
1,6/22/1998,40,1,Cenrich,Namb,1,1,M,Poa pratensis,C-3,,,0-20,Coarse,14.81
1,6/22/1998,40,1,Cenrich,Namb,1,1,M,Poa pratensis,C-3,,,0-20,Crowns,69.11
1,6/22/1998,40,1,Cenrich,Namb,1,1,M,Poa pratensis,C-3,,,0-20,Fine,18.1
1,6/22/1998,40,1,Cenrich,Namb,1,1,M,Poa pratensis,C-3,,,0-20,Fine,78.98
1,6/22/1998,40,1,Cenrich,Namb,1,1,M,Poa pratensis,C-3,,,0-20,Fine,877.02
1,6/22/1998,42,1,Cenrich,Namb,1,1,M,Solidago rigida,Forb,,,0-20,Coarse,4.94
1,6/22/1998,42,1,Cenrich,Namb,1,1,M,Solidago rigida,Forb,,,0-20,Crowns,19.75
1,6/22/1998,42,1,Cenrich,Namb,1,1,M,Solidago rigida,Forb,,,0-20,Fine,24.68
1,6/22/1998,42,1,Cenrich,Namb,1,1,M,Solidago rigida,Forb,,,0-20,Fine,57.59
1,6/22/1998,42,1,Cenrich,Namb,1,1,M,Solidago rigida,Forb,,,0-20,Fine,715.77
1,6/22/1998,43,1,Cenrich,Nenrich,16,4,M,,,,,0-20,Coarse,182.64
1,6/22/1998,43,1,Cenrich,Nenrich,16,4,M,,,,,0-20,Crowns,18.1
1,6/22/1998,43,1,Cenrich,Nenrich,16,4,M,,,,,0-20,Fine,821.07
1,6/22/1998,44,1,Cenrich,Nenrich,4,3,M,,,,,0-20,Coarse,0
1,6/22/1998,44,1,Cenrich,Nenrich,4,3,M,,,,,0-20,Crowns,16.95
1,6/22/1998,44,1,Cenrich,Nenrich,4,3,M,,,,,0-20,Fine,526.54
1,6/22/1998,45,1,Cenrich,Namb,16,4,M,,,,,0-20,Coarse,575.9
1,6/22/1998,45,1,Cenrich,Namb,16,4,M,,,,,0-20,Crowns,26.33
1,6/22/1998,45,1,Cenrich,Namb,16,4,M,,,,,0-20,Fine,868.79
1,6/22/1998,46,1,Cenrich,Namb,1,1,M,Anemone cylindrica,Forb,,,0-20,Coarse,0
1,6/22/1998,46,1,Cenrich,Namb,1,1,M,Anemone cylindrica,Forb,,,0-20,Crowns,4.94
1,6/22/1998,46,1,Cenrich,Namb,1,1,M,Anemone cylindrica,Forb,,,0-20,Fine,8.23
1,6/22/1998,46,1,Cenrich,Namb,1,1,M,Anemone cylindrica,Forb,,,0-20,Fine,90.5
1,6/22/1998,46,1,Cenrich,Namb,1,1,M,Anemone cylindrica,Forb,,,0-20,Fine,515.02
1,6/22/1998,47,1,Cenrich,Nenrich,1,1,M,Koeleria cristata,C-3,,,0-20,Coarse,1.65
1,6/22/1998,47,1,Cenrich,Nenrich,1,1,M,Koeleria cristata,C-3,,,0-20,Crowns,82.27
1,6/22/1998,47,1,Cenrich,Nenrich,1,1,M,Koeleria cristata,C-3,,,0-20,Fine,14.81
1,6/22/1998,47,1,Cenrich,Nenrich,1,1,M,Koeleria cristata,C-3,,,0-20,Fine,164.54
1,6/22/1998,47,1,Cenrich,Nenrich,1,1,M,Koeleria cristata,C-3,,,0-20,Fine,462.37
1,6/22/1998,48,1,Cenrich,Namb,9,4,M,,,,,0-20,Coarse,228.72
1,6/22/1998,48,1,Cenrich,Namb,9,4,M,,,,,0-20,Crowns,13.16
1,6/22/1998,48,1,Cenrich,Namb,9,4,M,,,,,0-20,Fine,1030.04
1,6/22/1998,49,1,Cenrich,Nenrich,1,1,M,Achillea millefolium,Forb,,,0-20,Coarse,78.98
1,6/22/1998,49,1,Cenrich,Nenrich,1,1,M,Achillea millefolium,Forb,,,0-20,Crowns,4.94
1,6/22/1998,49,1,Cenrich,Nenrich,1,1,M,Achillea millefolium,Forb,,,0-20,Fine,13.16
1,6/22/1998,49,1,Cenrich,Nenrich,1,1,M,Achillea millefolium,Forb,,,0-20,Fine,87.21
1,6/22/1998,49,1,Cenrich,Nenrich,1,1,M,Achillea millefolium,Forb,,,0-20,Fine,1619.11
1,6/22/1998,50,1,Cenrich,Nenrich,9,4,M,,,,,0-20,Coarse,141.51
1,6/22/1998,50,1,Cenrich,Nenrich,9,4,M,,,,,0-20,Crowns,134.93
1,6/22/1998,50,1,Cenrich,Nenrich,9,4,M,,,,,0-20,Fine,1044.85
1,6/22/1998,51,1,Cenrich,Namb,16,4,M,,,,,0-20,Coarse,126.7
1,6/22/1998,51,1,Cenrich,Namb,16,4,M,,,,,0-20,Crowns,0
1,6/22/1998,51,1,Cenrich,Namb,16,4,M,,,,,0-20,Fine,947.77
1,6/22/1998,52,1,Cenrich,Nenrich,16,4,M,,,,,0-20,Coarse,26.33
1,6/22/1998,52,1,Cenrich,Nenrich,16,4,M,,,,,0-20,Crowns,131.64
1,6/22/1998,52,1,Cenrich,Nenrich,16,4,M,,,,,0-20,Fine,654.88
1,6/22/1998,53,1,Cenrich,Nenrich,1,1,M,Solidago rigida,Forb,,,0-20,Coarse,6.58
1,6/22/1998,53,1,Cenrich,Nenrich,1,1,M,Solidago rigida,Forb,,,0-20,Crowns,121.76
1,6/22/1998,53,1,Cenrich,Nenrich,1,1,M,Solidago rigida,Forb,,,0-20,Fine,27.97
1,6/22/1998,53,1,Cenrich,Nenrich,1,1,M,Solidago rigida,Forb,,,0-20,Fine,241.88
1,6/22/1998,53,1,Cenrich,Nenrich,1,1,M,Solidago rigida,Forb,,,0-20,Fine,735.51
1,6/22/1998,54,1,Cenrich,Nenrich,4,1,S,,C-4,,,0-20,Coarse,0
1,6/22/1998,54,1,Cenrich,Nenrich,4,1,S,,C-4,,,0-20,Crowns,110.24
1,6/22/1998,54,1,Cenrich,Nenrich,4,1,S,,C-4,,,0-20,Fine,689.44
1,6/22/1998,55,1,Cenrich,Namb,1,1,M,Lupinus perennis,Legume,,,0-20,Coarse,32.91
1,6/22/1998,55,1,Cenrich,Namb,1,1,M,Lupinus perennis,Legume,,,0-20,Crowns,0
1,6/22/1998,55,1,Cenrich,Namb,1,1,M,Lupinus perennis,Legume,,,0-20,Fine,6.58
1,6/22/1998,55,1,Cenrich,Namb,1,1,M,Lupinus perennis,Legume,,,0-20,Fine,67.46
1,6/22/1998,55,1,Cenrich,Namb,1,1,M,Lupinus perennis,Legume,,,0-20,Fine,110.24
1,6/22/1998,56,1,Cenrich,Namb,4,1,S,,Legume,,,0-20,Coarse,74.04
1,6/22/1998,56,1,Cenrich,Namb,4,1,S,,Legume,,,0-20,Crowns,0
1,6/22/1998,56,1,Cenrich,Namb,4,1,S,,Legume,,,0-20,Fine,77.34
1,6/22/1998,57,1,Cenrich,Namb,1,1,M,Schizachyrium scoparium,C-4,,,0-20,Coarse,3.29
1,6/22/1998,57,1,Cenrich,Namb,1,1,M,Schizachyrium scoparium,C-4,,,0-20,Crowns,4.94
1,6/22/1998,57,1,Cenrich,Namb,1,1,M,Schizachyrium scoparium,C-4,,,0-20,Fine,11.52
1,6/22/1998,57,1,Cenrich,Namb,1,1,M,Schizachyrium scoparium,C-4,,,0-20,Fine,52.65
1,6/22/1998,57,1,Cenrich,Namb,1,1,M,Schizachyrium scoparium,C-4,,,0-20,Fine,72.4
1,6/22/1998,58,1,Cenrich,Nenrich,4,3,M,,,,,0-20,Coarse,427.81
1,6/22/1998,58,1,Cenrich,Nenrich,4,3,M,,,,,0-20,Crowns,0.66
1,6/22/1998,58,1,Cenrich,Nenrich,4,3,M,,,,,0-20,Fine,579.19
1,6/22/1998,59,1,Cenrich,Nenrich,4,4,S,,,,,0-20,Coarse,83.92
1,6/22/1998,59,1,Cenrich,Nenrich,4,4,S,,,,,0-20,Crowns,0
1,6/22/1998,59,1,Cenrich,Nenrich,4,4,S,,,,,0-20,Fine,755.26
1,6/22/1998,60,1,Cenrich,Nenrich,1,1,M,Andropogon gerardi,C-4,,,0-20,Coarse,0
1,6/22/1998,60,1,Cenrich,Nenrich,1,1,M,Andropogon gerardi,C-4,,,0-20,Crowns,98.73
1,6/22/1998,60,1,Cenrich,Nenrich,1,1,M,Andropogon gerardi,C-4,,,0-20,Fine,19.75
1,6/22/1998,60,1,Cenrich,Nenrich,1,1,M,Andropogon gerardi,C-4,,,0-20,Fine,69.11
1,6/22/1998,60,1,Cenrich,Nenrich,1,1,M,Andropogon gerardi,C-4,,,0-20,Fine,396.55
1,6/22/1998,61,1,Cenrich,Namb,0,1,M,,,,,0-20,Coarse,0
1,6/22/1998,61,1,Cenrich,Namb,0,1,M,,,,,0-20,Crowns,0
1,6/22/1998,61,1,Cenrich,Namb,0,1,M,,,,,0-20,Fine,75.69
1,6/22/1998,76,2,Camb,Nenrich,4,1,S,,C-4,,,0-20,Coarse,1.65
1,6/22/1998,76,2,Camb,Nenrich,4,1,S,,C-4,,,0-20,Crowns,151.38
1,6/22/1998,76,2,Camb,Nenrich,4,1,S,,C-4,,,0-20,Fine,363.64
1,6/23/1998,63,2,Camb,Namb,4,3,M,,,,,0-20,Coarse,59.24
1,6/23/1998,63,2,Camb,Namb,4,3,M,,,,,0-20,Crowns,317.57
1,6/23/1998,63,2,Camb,Namb,4,3,M,,,,,0-20,Fine,668.05
1,6/23/1998,64,2,Camb,Nenrich,16,4,M,,,,,0-20,Coarse,34.55
1,6/23/1998,64,2,Camb,Nenrich,16,4,M,,,,,0-20,Crowns,116.83
1,6/23/1998,64,2,Camb,Nenrich,16,4,M,,,,,0-20,Fine,460.72
1,6/23/1998,65,2,Camb,Nenrich,9,4,M,,,,,0-20,Coarse,97.08
1,6/23/1998,65,2,Camb,Nenrich,9,4,M,,,,,0-20,Crowns,39.49
1,6/23/1998,65,2,Camb,Nenrich,9,4,M,,,,,0-20,Fine,750.32
1,6/23/1998,66,2,Camb,Nenrich,9,4,M,,,,,0-20,Coarse,26.33
1,6/23/1998,66,2,Camb,Nenrich,9,4,M,,,,,0-20,Crowns,111.89
1,6/23/1998,66,2,Camb,Nenrich,9,4,M,,,,,0-20,Fine,735.51
1,6/23/1998,67,2,Camb,Namb,16,4,M,,,,,0-20,Coarse,232.01
1,6/23/1998,67,2,Camb,Namb,16,4,M,,,,,0-20,Crowns,47.72
1,6/23/1998,67,2,Camb,Namb,16,4,M,,,,,0-20,Fine,651.59
1,6/23/1998,68,2,Camb,Nenrich,1,1,M,Schizachyrium scoparium,C-4,,,0-20,Coarse,6.58
1,6/23/1998,68,2,Camb,Nenrich,1,1,M,Schizachyrium scoparium,C-4,,,0-20,Crowns,36.2
1,6/23/1998,68,2,Camb,Nenrich,1,1,M,Schizachyrium scoparium,C-4,,,0-20,Fine,4.94
1,6/23/1998,68,2,Camb,Nenrich,1,1,M,Schizachyrium scoparium,C-4,,,0-20,Fine,41.14
1,6/23/1998,68,2,Camb,Nenrich,1,1,M,Schizachyrium scoparium,C-4,,,0-20,Fine,139.86
1,6/23/1998,70,2,Camb,Namb,1,1,M,Andropogon gerardi,C-4,,,0-20,Coarse,16.45
1,6/23/1998,70,2,Camb,Namb,1,1,M,Andropogon gerardi,C-4,,,0-20,Coarse,24.68
1,6/23/1998,70,2,Camb,Namb,1,1,M,Andropogon gerardi,C-4,,,0-20,Crowns,77.34
1,6/23/1998,70,2,Camb,Namb,1,1,M,Andropogon gerardi,C-4,,,0-20,Fine,9.87
1,6/23/1998,70,2,Camb,Namb,1,1,M,Andropogon gerardi,C-4,,,0-20,Fine,59.24
1,6/23/1998,70,2,Camb,Namb,1,1,M,Andropogon gerardi,C-4,,,0-20,Fine,383.39
1,6/23/1998,71,2,Camb,Nenrich,1,1,M,Sorghastrum nutans,C-4,,,0-20,Coarse,3.29
1,6/23/1998,71,2,Camb,Nenrich,1,1,M,Sorghastrum nutans,C-4,,,0-20,Crowns,21.39
1,6/23/1998,71,2,Camb,Nenrich,1,1,M,Sorghastrum nutans,C-4,,,0-20,Fine,11.52
1,6/23/1998,71,2,Camb,Nenrich,1,1,M,Sorghastrum nutans,C-4,,,0-20,Fine,60.88
1,6/23/1998,71,2,Camb,Nenrich,1,1,M,Sorghastrum nutans,C-4,,,0-20,Fine,268.21
1,6/23/1998,72,2,Camb,Nenrich,1,1,M,Petalostemum villosum,Legume,,,0-20,Coarse,0
1,6/23/1998,72,2,Camb,Nenrich,1,1,M,Petalostemum villosum,Legume,,,0-20,Crowns,0
1,6/23/1998,72,2,Camb,Nenrich,1,1,M,Petalostemum villosum,Legume,,,0-20,Fine,9.87
1,6/23/1998,72,2,Camb,Nenrich,1,1,M,Petalostemum villosum,Legume,,,0-20,Fine,55.94
1,6/23/1998,73,2,Camb,Nenrich,0,1,M,,,,,0-20,Coarse,0
1,6/23/1998,73,2,Camb,Nenrich,0,1,M,,,,,0-20,Crowns,0
1,6/23/1998,73,2,Camb,Nenrich,0,1,M,,,,,0-20,Fine,164.54
1,6/23/1998,75,2,Camb,Nenrich,4,3,M,,,,,0-20,Coarse,9.87
