Year,Sampling #,plot,Ring,CO2 Treatment,Nitrogen Treatment,CountOfSpecies,CountOfGroup,Experiment,monospecies,Monogroup,Water Treatment,Temp Treatment,Nitrification (mg/kg-1/m-1),Ammonification (mg kg-1 ~m-1),Net N mineralization (mg kg-1 ~m-1),Incubation length (days),Nitrification (mg kg-1 d-1),Ammonification (mg kg-1 d-1),Net N mineralization (mg kg-1 d-1),Notes
1998,1,41,1,Cenrich,Nenrich,4,1,S,,C-3,,,0.0589,0.4728,0.5317,38,0.00155,0.012442105,0.013992105,
1998,1,42,1,Cenrich,Namb,1,1,M,Solidago rigida,Forb,,,0.1242,0.5755,0.6997,38,0.003268421,0.015144737,0.018413158,
1998,1,43,1,Cenrich,Nenrich,16,4,M,,,,,0.0455,0.1518,0.1973,38,0.001197368,0.003994737,0.005192105,
1998,1,44,1,Cenrich,Nenrich,4,3,M,,,,,1.5129,-0.3663,1.1466,38,0.039813158,-0.009639474,0.030173684,
1998,1,45,1,Cenrich,Namb,16,4,M,,,,,0.1199,-0.4503,-0.3304,38,0.003155263,-0.01185,-0.008694737,
1998,1,46,1,Cenrich,Namb,1,1,M,Anemone cylindrica,Forb,,,4.3732,-0.0382,4.335,38,0.115084211,-0.001005263,0.114078947,
1998,1,47,1,Cenrich,Nenrich,1,1,M,Koeleria cristata,C-3,,,1.5215,0.4701,1.9916,38,0.040039474,0.012371053,0.052410526,
1998,1,48,1,Cenrich,Namb,9,4,M,,,H2Oamb,HTelv,0.0781,0.7158,0.7939,38,0.002055263,0.018836842,0.020892105,
1998,1,49,1,Cenrich,Nenrich,1,1,M,Achillea millefolium,Forb,,,0.0537,1.544,1.5977,38,0.001413158,0.040631579,0.042044737,
1998,1,50,1,Cenrich,Nenrich,9,4,M,,,H2Oneg,HTamb,2.8,0.454,3.254,38,0.073684211,0.011947368,0.085631579,
1998,1,51,1,Cenrich,Namb,16,4,M,,,,,0.07,0.6398,0.7098,38,0.001842105,0.016836842,0.018678947,
1998,1,52,1,Cenrich,Nenrich,16,4,M,,,,,-0.0005,0.01,0.0095,38,-1.32E-05,0.000263158,0.00025,
1998,1,53,1,Cenrich,Nenrich,1,1,M,Solidago rigida,Forb,,,0.8542,0.0724,0.9266,38,0.022478947,0.001905263,0.024384211,
1998,1,54,1,Cenrich,Nenrich,4,1,S,,C-4,,,9.5582,-1.8564,7.7018,38,0.251531579,-0.048852632,0.202678947,
1998,1,55,1,Cenrich,Namb,1,1,M,Lupinus perennis,Legume,,,8.1645,-0.0168,8.1477,38,0.214855263,-0.000442105,0.214413158,
1998,1,56,1,Cenrich,Namb,4,1,S,,Legume,,,8.0065,-0.4554,7.5511,38,0.210697368,-0.011984211,0.198713158,
1998,1,57,1,Cenrich,Namb,1,1,M,Schizachyrium scoparium,C-4,,,3.9412,-1.0757,2.8655,38,0.103715789,-0.028307895,0.075407895,
1998,1,58,1,Cenrich,Nenrich,4,3,M,,,,,0.1887,0.4653,0.654,38,0.004965789,0.012244737,0.017210526,
1998,1,59,1,Cenrich,Nenrich,4,4,S,,,,,0.2596,0.7188,0.9784,38,0.006831579,0.018915789,0.025747368,
1998,1,60,1,Cenrich,Nenrich,1,1,M,Andropogon gerardi,C-4,,,1.1849,-1.3115,-0.1266,38,0.031181579,-0.034513158,-0.003331579,
1998,1,61,1,Cenrich,Namb,0,1,M,,,,,9.9864,-1.1617,8.8247,38,0.2628,-0.030571053,0.232228947,
1998,1,62,2,Camb,Namb,4,4,S,,,,,5.6751,3.2881,8.9632,38,0.149344737,0.086528947,0.235873684,
1998,1,63,2,Camb,Namb,4,3,M,,,,,0.2977,0.1747,0.4724,38,0.007834211,0.004597368,0.012431579,
1998,1,64,2,Camb,Nenrich,16,4,M,,,,,0.1836,0.941,1.1246,38,0.004831579,0.024763158,0.029594737,
1998,1,65,2,Camb,Nenrich,9,4,M,,,,,0.2947,0.4102,0.7049,38,0.007755263,0.010794737,0.01855,
1998,1,66,2,Camb,Nenrich,9,4,M,,,H2Oneg,HTamb,5.7784,2.1359,7.9143,38,0.152063158,0.056207895,0.208271053,
1998,1,67,2,Camb,Namb,16,4,M,,,,,0.1483,1.8654,2.0137,38,0.003902632,0.049089474,0.052992105,
1998,1,68,2,Camb,Nenrich,1,1,M,Schizachyrium scoparium,C-4,,,18.5137,0.0837,18.5974,38,0.487202632,0.002202632,0.489405263,
1998,1,69,2,Camb,Namb,16,4,M,,,,,0.6749,4.0507,4.7256,38,0.017760526,0.106597368,0.124357895,
1998,1,70,2,Camb,Namb,1,1,M,Andropogon gerardi,C-4,,,2.7037,2.5855,5.2892,38,0.07115,0.068039474,0.139189474,
1998,1,71,2,Camb,Nenrich,1,1,M,Sorghastrum nutans,C-4,,,6.3113,2.1426,8.4539,38,0.166086842,0.056384211,0.222471053,
1998,1,72,2,Camb,Nenrich,1,1,M,Petalostemum villosum,Legume,,,5.5161,-0.6276,4.8885,38,0.145160526,-0.016515789,0.128644737,
1998,1,73,2,Camb,Nenrich,0,1,M,,,,,9.1148,0.0633,9.1781,38,0.239863158,0.001665789,0.241528947,
1998,1,74,2,Camb,Nenrich,4,1,S,,Legume,,,4.7269,1.3709,6.0978,38,0.124392105,0.036076316,0.160468421,
1998,1,75,2,Camb,Nenrich,4,3,M,,,,,15.4865,0.5657,16.0522,38,0.407539474,0.014886842,0.422426316,
1998,1,76,2,Camb,Nenrich,4,1,S,,C-4,,,22.8494,3.8812,26.7306,38,0.6013,0.102136842,0.703436842,
1998,1,77,2,Camb,Namb,1,1,M,Anemone cylindrica,Forb,,,2.7683,1.652,4.4203,38,0.07285,0.043473684,0.116323684,
1998,1,78,2,Camb,Namb,4,2,M,,,,,0.0379,1.0483,1.0862,38,0.000997368,0.027586842,0.028584211,
1998,1,79,2,Camb,Nenrich,4,3,M,,,,,0.0877,0.595,0.6827,38,0.002307895,0.015657895,0.017965789,
1998,1,80,2,Camb,Namb,4,1,S,,C-3,,,0.7271,0.9782,1.7053,38,0.019134211,0.025742105,0.044876316,
1998,1,81,2,Camb,Nenrich,1,1,M,Bouteloua gracilis,C-4,,,2.1271,0.1668,2.2939,38,0.055976316,0.004389474,0.060365789,
1998,1,82,2,Camb,Namb,4,3,M,,,,,0.5119,0.7091,1.221,38,0.013471053,0.018660526,0.032131579,
1998,1,83,2,Camb,Namb,9,4,M,,,H2Oamb,,0.0654,0.0295,0.0949,38,0.001721053,0.000776316,0.002497368,
1998,1,84,2,Camb,Nenrich,9,4,M,,,H2Oamb,HTelv,6.9506,-0.3893,6.5613,38,0.182910526,-0.010244737,0.172665789,
1998,1,85,2,Camb,Nenrich,4,2,S,,,,,7.6917,-0.0954,7.5963,38,0.202413158,-0.002510526,0.199902632,
1998,1,86,2,Camb,Nenrich,4,3,M,,,,,0.0465,0.6685,0.715,38,0.001223684,0.017592105,0.018815789,
1998,1,87,2,Camb,Namb,9,4,M,,,H2Oneg,HTamb,0,0.4339,0.4339,38,0,0.011418421,0.011418421,
1998,1,88,2,Camb,Nenrich,4,4,S,,,,,-0.0443,0.6114,0.5671,38,-0.001165789,0.016089474,0.014923684,
1998,1,89,2,Camb,Namb,4,1,S,,Forb,,,0.1513,0.6382,0.7895,38,0.003981579,0.016794737,0.020776316,
1998,1,90,2,Camb,Namb,1,1,M,Sorghastrum nutans,C-4,,,6.3938,-0.3301,6.0637,38,0.168257895,-0.008686842,0.159571053,
1998,1,91,2,Camb,Nenrich,4,3,M,,,,,4.7416,0.6069,5.3485,38,0.124778947,0.015971053,0.14075,
1998,1,92,2,Camb,Namb,9,4,M,,,H2Oneg,HTelv,0.065,0.3063,0.3713,38,0.001710526,0.008060526,0.009771053,
1998,1,93,2,Camb,Namb,4,1,S,,Legume,,,6.83,-0.7695,6.0605,38,0.179736842,-0.02025,0.159486842,
1998,1,94,2,Camb,Nenrich,1,1,M,Asclepias tuberosa,Forb,,,8.0496,-0.0694,7.9802,38,0.211831579,-0.001826316,0.210005263,
1998,1,95,2,Camb,Nenrich,4,1,S,,Forb,,,0.0607,-0.2843,-0.2236,38,0.001597368,-0.007481579,-0.005884211,
1998,1,96,2,Camb,Nenrich,1,1,M,Lupinus perennis,Legume,,,7.9454,0.6869,8.6323,38,0.209089474,0.018076316,0.227165789,
1998,1,97,2,Camb,Nenrich,9,4,M,,,H2Oamb,HTamb,-0.0137,0.0925,0.0788,38,-0.000360526,0.002434211,0.002073684,
1998,1,98,2,Camb,Nenrich,4,1,S,,C-3,,,0.0261,0.5748,0.6009,38,0.000686842,0.015126316,0.015813158,
1998,1,99,2,Camb,Nenrich,1,1,M,Solidago rigida,Forb,,,0.3315,-0.0994,0.2321,38,0.008723684,-0.002615789,0.006107895,
1998,1,100,2,Camb,Namb,1,1,M,Lupinus perennis,Legume,,,5.215,1.3583,6.5733,38,0.137236842,0.035744737,0.172981579,
1998,1,101,2,Camb,Nenrich,1,1,M,Andropogon gerardi,C-4,,,11.9914,-0.6535,11.3379,38,0.315563158,-0.017197368,0.298365789,
1998,1,102,2,Camb,Namb,1,1,M,Petalostemum villosum,Legume,,,2.2685,0.0484,2.3169,38,0.059697368,0.001273684,0.060971053,
1998,1,103,2,Camb,Nenrich,1,1,M,Bromus inermis,C-3,,,0.8467,3.796,4.6427,38,0.022281579,0.099894737,0.122176316,
1998,1,104,2,Camb,Namb,16,4,M,,,,,0.0957,0.4421,0.5378,38,0.002518421,0.011634211,0.014152632,
1998,1,105,2,Camb,Namb,4,1,S,,C-4,,,3.0254,0.3605,3.3859,38,0.079615789,0.009486842,0.089102632,
1998,1,106,2,Camb,Namb,9,4,M,,,H2Oamb,HTamb,1.129,0.794,1.923,38,0.029710526,0.020894737,0.050605263,
1998,1,107,2,Camb,Namb,16,4,M,,,,,-0.0004,0.7798,0.7794,38,-1.05E-05,0.020521053,0.020510526,
1998,1,108,2,Camb,Nenrich,16,4,M,,,,,0.9362,1.321,2.2572,38,0.024636842,0.034763158,0.0594,
1998,1,109,2,Camb,Namb,1,1,M,Bromus inermis,C-3,,,0.9079,1.4916,2.3995,38,0.023892105,0.039252632,0.063144737,
1998,1,110,2,Camb,Nenrich,16,4,M,,,,,0.0826,0.9893,1.0719,38,0.002173684,0.026034211,0.028207895,
1998,1,111,2,Camb,Namb,1,1,M,Agropyron repens,C-3,,,0.4275,0.0359,0.4634,38,0.01125,0.000944737,0.012194737,
1998,1,112,2,Camb,Nenrich,1,1,M,Agropyron repens,C-3,,,0.0734,1.2982,1.3716,38,0.001931579,0.034163158,0.036094737,
1998,1,113,2,Camb,Nenrich,1,1,M,Poa pratensis,C-3,,,6.0235,1.0549,7.0784,38,0.158513158,0.027760526,0.186273684,
1998,1,114,2,Camb,Nenrich,4,3,M,,,,,1.0166,-0.2126,0.804,38,0.026752632,-0.005594737,0.021157895,
1998,1,115,2,Camb,Namb,1,1,M,Poa pratensis,C-3,,,1.0012,0.3904,1.3916,38,0.026347368,0.010273684,0.036621053,
1998,1,116,2,Camb,Namb,1,1,M,Lespedeza capitata,Legume,,,11.4534,0.0295,11.4829,38,0.301405263,0.000776316,0.302181579,
1998,1,117,2,Camb,Nenrich,9,3,M,,,H2Oneg,HTelv,0.2951,0.9197,1.2148,38,0.007765789,0.024202632,0.031968421,
1998,1,118,2,Camb,Nenrich,16,4,M,,,,,3.1513,2.2482,5.3995,38,0.082928947,0.059163158,0.142092105,
1998,1,119,2,Camb,Namb,9,4,M,,,H2Oamb,HTelv,0.52,0.765,1.285,38,0.013684211,0.020131579,0.033815789,
1998,1,120,2,Camb,Namb,4,3,M,,,,,0.3457,0.4402,0.7859,38,0.009097368,0.011584211,0.020681579,
1998,1,121,2,Camb,Namb,4,2,M,,,,,3.0509,0.4504,3.5013,38,0.080286842,0.011852632,0.092139474,
1998,1,122,2,Camb,Namb,1,1,M,Koeleria cristata,C-3,,,6.409,0.2779,6.6869,38,0.168657895,0.007313158,0.175971053,
1998,1,123,3,Cenrich,Nenrich,1,1,M,Sorghastrum nutans,C-4,,,10.939,-0.8147,10.1243,38,0.287868421,-0.021439474,0.266428947,
1998,1,124,3,Cenrich,Nenrich,4,1,S,,C-4,,,7.0767,-0.7376,6.3391,38,0.186228947,-0.019410526,0.166818421,
1998,1,125,3,Cenrich,Nenrich,4,2,M,,,,,18.3436,7.0954,25.439,38,0.482726316,0.186721053,0.669447368,
1998,1,126,3,Cenrich,Namb,1,1,M,Sorghastrum nutans,C-4,,,2.206,-0.7811,1.4249,38,0.058052632,-0.020555263,0.037497368,
1998,1,127,3,Cenrich,Nenrich,4,2,M,,,,,0.7137,1.1184,1.8321,38,0.018781579,0.029431579,0.048213158,
1998,1,128,3,Cenrich,Namb,9,4,M,,,H2Oamb,HTelv,0.9163,0.6316,1.5479,38,0.024113158,0.016621053,0.040734211,
1998,1,129,3,Cenrich,Namb,4,3,M,,,,,2.4498,-0.2094,2.2404,38,0.064468421,-0.005510526,0.058957895,
1998,1,130,3,Cenrich,Nenrich,16,4,M,,,,,2.5232,2.4531,4.9763,38,0.0664,0.064555263,0.130955263,
1998,1,131,3,Cenrich,Namb,9,4,M,,,H2Oneg,HTamb,0.1971,2.1196,2.3167,38,0.005186842,0.055778947,0.060965789,
1998,1,132,3,Cenrich,Nenrich,1,1,M,Schizachyrium scoparium,C-4,,,11.0555,0.2752,11.3307,38,0.290934211,0.007242105,0.298176316,
1998,1,133,3,Cenrich,Namb,9,4,M,,,H2Oamb,HTamb,0.2136,3.4826,3.6962,38,0.005621053,0.091647368,0.097268421,
1998,1,134,3,Cenrich,Namb,1,1,M,Koeleria cristata,C-3,,,0.7972,0.8143,1.6115,38,0.020978947,0.021428947,0.042407895,
1998,1,135,3,Cenrich,Namb,1,1,M,Lupinus perennis,Legume,,,17.4154,2.0328,19.4482,38,0.4583,0.053494737,0.511794737,
1998,1,136,3,Cenrich,Nenrich,4,1,S,,Forb,,,0.3352,0.3103,0.6455,38,0.008821053,0.008165789,0.016986842,
1998,1,137,3,Cenrich,Nenrich,1,1,M,Lespedeza capitata,Legume,,,13.9171,0.2862,14.2033,38,0.366239474,0.007531579,0.373771053,
1998,1,138,3,Cenrich,Namb,1,1,M,Poa pratensis,C-3,,,5.2499,1.4723,6.7222,38,0.138155263,0.038744737,0.1769,
1998,1,139,3,Cenrich,Namb,1,1,M,Petalostemum villosum,Legume,,,10.7346,0.5807,11.3153,38,0.282489474,0.015281579,0.297771053,
1998,1,140,3,Cenrich,Namb,1,1,M,Andropogon gerardi,C-4,,,12.864,0.5094,13.3734,38,0.338526316,0.013405263,0.351931579,
1998,1,141,3,Cenrich,Nenrich,1,1,M,Lupinus perennis,Legume,,,13.0094,-0.0358,12.9736,38,0.342352632,-0.000942105,0.341410526,
1998,1,142,3,Cenrich,Nenrich,1,1,M,Anemone cylindrica,Forb,,,5.7198,2.6331,8.3529,38,0.150521053,0.069292105,0.219813158,
1998,1,143,3,Cenrich,Nenrich,1,1,M,Solidago rigida,Forb,,,0.868,0.8794,1.7474,38,0.022842105,0.023142105,0.045984211,
1998,1,144,3,Cenrich,Nenrich,1,1,M,Agropyron repens,C-3,,,0.0144,-0.4174,-0.403,38,0.000378947,-0.010984211,-0.010605263,
1998,1,145,3,Cenrich,Namb,1,1,M,Agropyron repens,C-3,,,12.1524,1.2257,13.3781,38,0.3198,0.032255263,0.352055263,
1998,1,146,3,Cenrich,Namb,1,1,M,Anemone cylindrica,Forb,,,11.3892,0.2181,11.6073,38,0.299715789,0.005739474,0.305455263,
1998,1,147,3,Cenrich,Namb,16,4,M,,,,,-0.0052,0.5088,0.5036,38,-0.000136842,0.013389474,0.013252632,
1998,1,148,3,Cenrich,Namb,4,3,M,,,,,0.9167,-0.261,0.6557,38,0.024123684,-0.006868421,0.017255263,
1998,1,149,3,Cenrich,Nenrich,9,4,M,,,H2Oneg,HTelv,5.2321,0.6082,5.8403,38,0.137686842,0.016005263,0.153692105,
1998,1,150,3,Cenrich,Namb,4,1,S,,Legume,,,4.2607,0.7762,5.0369,38,0.112123684,0.020426316,0.13255,
1998,1,151,3,Cenrich,Nenrich,16,4,M,,,,,0.0018,-0.0249,-0.0231,38,4.74E-05,-0.000655263,-0.000607895,
1998,1,152,3,Cenrich,Namb,4,1,S,,C-4,,,14.5342,-1.1319,13.4023,38,0.382478947,-0.029786842,0.352692105,
1998,1,153,3,Cenrich,Namb,1,1,M,Solidago rigida,Forb,,,5.71,-0.2663,5.4437,38,0.150263158,-0.007007895,0.143255263,
1998,1,154,3,Cenrich,Nenrich,4,4,S,,,,,2.5106,0.694,3.2046,38,0.066068421,0.018263158,0.084331579,
1998,1,155,3,Cenrich,Namb,4,4,S,,,,,0.0023,-0.0269,-0.0246,38,6.05E-05,-0.000707895,-0.000647368,
1998,1,156,3,Cenrich,Namb,4,2,M,,,,,14.1426,0.2374,14.38,38,0.372173684,0.006247368,0.378421053,
1998,1,157,3,Cenrich,Namb,4,1,S,,C-3,,,0.1567,1.1153,1.272,38,0.004123684,0.02935,0.033473684,
1998,1,158,3,Cenrich,Nenrich,1,1,M,Amorpha canescens,Legume,,,11.6453,-0.213,11.4323,38,0.306455263,-0.005605263,0.30085,
1998,1,159,3,Cenrich,Namb,1,1,M,Achillea millefolium,Forb,,,0.0281,0.3308,0.3589,38,0.000739474,0.008705263,0.009444737,
1998,1,160,3,Cenrich,Nenrich,1,1,M,Asclepias tuberosa,Forb,,,6.9174,-0.1829,6.7345,38,0.182036842,-0.004813158,0.177223684,
1998,1,161,3,Cenrich,Nenrich,9,4,M,,,,,0.1433,0.5719,0.7152,38,0.003771053,0.01505,0.018821053,
1998,1,162,3,Cenrich,Nenrich,4,3,M,,,,,,,,38,,,,
1998,1,163,3,Cenrich,Namb,16,4,M,,,,,0.0522,0.2366,0.2888,38,0.001373684,0.006226316,0.0076,
1998,1,164,3,Cenrich,Namb,4,4,M,,,,,0.0346,-0.1092,-0.0746,38,0.000910526,-0.002873684,-0.001963158,
1998,1,165,3,Cenrich,Nenrich,9,3,M,,,H2Oneg,HTamb,0.0987,0.4152,0.5139,38,0.002597368,0.010926316,0.013523684,
1998,1,166,3,Cenrich,Nenrich,9,4,M,,,H2Oamb,HTelv,1.4759,1.0127,2.4886,38,0.038839474,0.02665,0.065489474,
1998,1,167,3,Cenrich,Nenrich,4,3,M,,,,,1.8755,2.0958,3.9713,38,0.049355263,0.055152632,0.104507895,
1998,1,168,3,Cenrich,Nenrich,4,1,S,,C-3,,,2.4052,2.6573,5.0625,38,0.063294737,0.069928947,0.133223684,
1998,1,169,3,Cenrich,Namb,1,1,M,Amorpha canescens,Legume,,,7.9886,-0.2985,7.6901,38,0.210226316,-0.007855263,0.202371053,
1998,1,170,3,Cenrich,Namb,9,4,M,,,,,0.0288,0.6001,0.6289,38,0.000757895,0.015792105,0.01655,
1998,1,171,3,Cenrich,Nenrich,9,4,M,,,H2Oamb,HTamb,0.1152,-0.2363,-0.1211,38,0.003031579,-0.006218421,-0.003186842,
1998,1,172,3,Cenrich,Namb,4,1,S,,Forb,,,0.0841,0.8747,0.9588,38,0.002213158,0.023018421,0.025231579,
1998,1,173,3,Cenrich,Namb,16,4,M,,,,,0.0091,-0.3034,-0.2943,38,0.000239474,-0.007984211,-0.007744737,
1998,1,174,3,Cenrich,Nenrich,1,1,M,Bromus inermis,C-3,,,0.0606,-0.5105,-0.4499,38,0.001594737,-0.013434211,-0.011839474,
1998,1,175,3,Cenrich,Nenrich,16,4,M,,,,,0.0905,0.3226,0.4131,38,0.002381579,0.008489474,0.010871053,
1998,1,176,3,Cenrich,Nenrich,4,3,M,,,,,2.4072,-5.2987,-2.8915,38,0.063347368,-0.139439474,-0.076092105,
1998,1,177,3,Cenrich,Namb,9,4,M,,,H2Oneg,HTelv,-0.5128,-0.5636,-1.0764,38,-0.013494737,-0.014831579,-0.028326316,
1998,1,178,3,Cenrich,Namb,4,3,M,,,,,0.0878,-1.1889,-1.1011,38,0.002310526,-0.031286842,-0.028976316,
1998,1,179,3,Cenrich,Namb,16,4,M,,,,,-0.0066,-0.1333,-0.1399,38,-0.000173684,-0.003507895,-0.003681579,
1998,1,180,3,Cenrich,Nenrich,16,4,M,,,,,0.056,0.2678,0.3238,38,0.001473684,0.007047368,0.008521053,
1998,1,181,3,Cenrich,Nenrich,4,1,S,,Legume,,,3.0313,0.4941,3.5254,38,0.079771053,0.013002632,0.092773684,
1998,1,182,3,Cenrich,Namb,0,1,M,,,,,7.1463,-0.1026,7.0437,38,0.188060526,-0.0027,0.185360526,
1998,1,183,3,Cenrich,Nenrich,1,1,M,Poa pratensis,C-3,,,5.8214,0.4651,6.2865,38,0.153194737,0.012239474,0.165434211,
1998,1,184,4,Camb,Namb,16,4,M,,,,,1.137,1.4472,2.5842,38,0.029921053,0.038084211,0.068005263,
1998,1,185,4,Camb,Nenrich,9,4,M,,,H2Oneg,HTamb,-0.006,-0.6276,-0.6336,38,-0.000157895,-0.016515789,-0.016673684,
1998,1,186,4,Camb,Nenrich,9,4,M,,,H2Oamb,HTelv,9.6419,2.0881,11.73,38,0.253734211,0.05495,0.308684211,
1998,1,187,4,Camb,Namb,9,4,M,,,,,0.6342,0.4144,1.0486,38,0.016689474,0.010905263,0.027594737,
1998,1,188,4,Camb,Namb,16,4,M,,,,,1.4133,0.0609,1.4742,38,0.037192105,0.001602632,0.038794737,
1998,1,189,4,Camb,Namb,4,3,M,,,,,4.6828,1.5723,6.2551,38,0.123231579,0.041376316,0.164607895,
1998,1,190,4,Camb,Namb,1,1,M,Lupinus perennis,Legume,,,16.1891,1.1726,17.3617,38,0.426028947,0.030857895,0.456886842,
