year	plot	location	block	composition	species.richness	functional.richness	legumes	biomass
1	C2P020	2	1	49	4	3	Yes	365.5001
1	C2P021	2	1	39	1	1	No	309.9999
1	C2P024	2	1	45	2	2	No	222.25
1	C2P025	2	1	34	1	1	Yes	162.9
1	C2P026	2	1	54	14	3	Yes	579.9002
1	C2P027	2	1	50	4	3	Yes	69.6999
1	C2P028	2	1	43	2	1	No	305.4497
1	C2P029	2	1	48	4	3	Yes	126.5001
1	C2P030	2	1	5	1	1	No	146.3501
1	C2P032	2	1	35	1	1	Yes	223.3
1	C2P033	2	1	47	4	3	Yes	137.85
1	C2P034	2	1	31	1	1	No	82.5001
1	C2P035	2	1	43	2	1	No	283.7502
1	C2P036	2	1	51	4	3	Yes	546.6497
1	C2P038	2	1	38	1	1	No	353.9
1	C2P039	2	1	44	2	2	No	383.75
1	C2P040	2	1	54	14	3	Yes	513.3002
1	C2P041	2	1	32	1	1	No	309.9502
1	C2P042	2	1	44	2	2	No	378.7001
1	C2P043	2	1	48	4	3	Yes	384.5498
1	C2P044	2	1	35	1	1	Yes	126.6999
1	C2P045	2	1	50	4	3	Yes	79.85
1	C2P046	2	1	31	1	1	No	245.5999
1	C2P047	2	1	9	1	1	No	81.55
1	C2P048	2	1	42	2	1	No	179.35
1	C2P049	2	1	36	1	1	Yes	76.8499
1	C2P050	2	1	42	2	1	No	103.4498
1	C2P051	2	1	40	1	1	No	43.8
1	C2P052	2	1	46	2	2	Yes	291.4499
1	C2P053	2	1	47	4	3	Yes	103.4999
1	C2P054	2	1	53	8	3	Yes	353.55
1	C2P055	2	1	52	8	3	Yes	236.6001
1	C2P056	2	1	41	1	1	No	427.8
1	C2P057	2	1	41	1	1	No	308.4501
1	C2P058	2	1	46	2	2	Yes	136.2499
1	C2P064	2	1	54	14	3	Yes	666.0003
1	C2P065	2	1	54	14	3	Yes	414.8001
1	C2P067	2	1	53	8	3	Yes	416.2501
1	L3P001	3	1	55	1	1	No	32.25
1	L3P002	3	1	56	4	1	No	55.45
1	L3P003	3	1	57	4	3	Yes	5.55
1	L3P004	3	1	9	1	1	No	164.75
1	L3P005	3	1	58	4	2	No	6.05
1	L3P006	3	1	59	8	3	Yes	129.05
1	L3P007	3	1	60	4	2	Yes	185.95
1	L3P008	3	1	6	1	1	Yes	178.4
1	L3P009	3	1	61	8	1	No	96.55
1	L3P010	3	1	62	2	2	Yes	27.4
1	L3P011	3	1	2	1	1	No	63.9
1	L3P012	3	1	63	2	1	No	113.55
1	L3P013	3	1	7	1	1	Yes	23.6
1	L3P014	3	1	64	2	2	No	272.95
1	L3P015	3	1	65	4	2	No	221.6
1	L3P016	3	1	66	4	1	No	85.05
1	L3P017	3	1	67	2	2	No	34.95
1	L3P018	3	1	68	8	2	No	75.65
1	L3P019	3	1	69	32	3	Yes	115.3
1	L3P020	3	1	70	2	1	No	170
1	L3P021	3	1	71	8	3	Yes	293.75
1	L3P022	3	1	72	2	2	Yes	62
1	L3P023	3	1	73	4	3	Yes	84.2
1	L3P024	3	1	74	1	1	No	76.65
1	L3P025	3	1	75	2	1	No	187.1
1	L3P026	3	1	76	1	1	No	103.1
1	L3P027	3	1	77	32	3	Yes	388.1
1	L3P028	3	1	78	1	1	No	116.55
1	L3P029	3	1	79	4	2	Yes	235.5
1	L3P030	3	1	80	8	2	Yes	223.4
1	L3P031	3	1	3	1	1	No	271.05
1	L3P032	3	1	81	1	1	No	284.65
1	L3P033	3	2	79	4	2	Yes	127.6
1	L3P034	3	2	69	32	3	Yes	124.6
1	L3P035	3	2	56	4	1	No	6.5
1	L3P036	3	2	2	1	1	No	202.75
1	L3P037	3	2	81	1	1	No	18.6
1	L3P038	3	2	7	1	1	Yes	123.45
1	L3P039	3	2	71	8	3	Yes	111.5
1	L3P040	3	2	62	2	2	Yes	157.4
1	L3P041	3	2	64	2	2	No	174.85
1	L3P042	3	2	9	1	1	No	96.9
1	L3P043	3	2	55	1	1	No	68.6
1	L3P044	3	2	60	4	2	Yes	170.3
1	L3P045	3	2	6	1	1	Yes	13.2
1	L3P046	3	2	67	2	2	No	290
1	L3P047	3	2	63	2	1	No	176.1
1	L3P048	3	2	59	8	3	Yes	126.5
1	L3P049	3	2	3	1	1	No	19.9
1	L3P050	3	2	65	4	2	No	98.45
1	L3P051	3	2	57	4	3	Yes	185.25
1	L3P052	3	2	70	2	1	No	180.1
1	L3P053	3	2	76	1	1	No	197.1
1	L3P054	3	2	66	4	1	No	66.95
1	L3P055	3	2	80	8	2	Yes	148.7
1	L3P056	3	2	73	4	3	Yes	160.75
1	L3P057	3	2	75	2	1	No	279.75
1	L3P058	3	2	78	1	1	No	151.25
1	L3P059	3	2	61	8	1	No	301.5
1	L3P060	3	2	77	32	3	Yes	90.4
1	L3P061	3	2	74	1	1	No	243.8
1	L3P062	3	2	58	4	2	No	297.45
1	L3P063	3	2	68	8	2	No	278.85
1	L3P064	3	2	72	2	2	Yes	274.6
1	M4P001	4	1	93	2	2	Yes	0
1	M4P002	4	1	102	8	3	Yes	459.471
1	M4P003	4	1	82	1	1	No	34.282
1	M4P004	4	1	88	1	1	Yes	0
1	M4P005	4	1	95	4	2	No	209.005
1	M4P006	4	1	97	4	3	Yes	290.744
1	M4P009	4	1	105	18	3	Yes	184.225
1	M4P010	4	1	89	2	2	Yes	0
1	M4P011	4	1	91	2	2	No	106.951
1	M4P012	4	1	106	18	3	Yes	169.297
1	M4P014	4	1	85	1	1	No	0
1	M4P015	4	1	84	1	1	No	312.396
1	M4P016	4	1	98	4	2	No	1.99
1	M4P017	4	1	94	2	1	No	1.04
1	M4P018	4	1	99	4	3	Yes	0
1	M4P019	4	1	100	8	3	Yes	40.813
1	M4P020	4	1	92	2	2	No	0
1	M4P021	4	1	87	1	1	No	0
1	M4P022	4	1	104	18	3	Yes	168.647
1	M4P023	4	1	96	4	2	Yes	0
1	M4P024	4	1	101	8	3	Yes	421.37
1	M4P026	4	1	107	18	3	Yes	199.769
1	M4P027	4	1	90	2	2	Yes	0
1	M4P028	4	1	83	1	1	No	0
1	M4P029	4	1	103	8	3	Yes	29.385
1	M4P030	4	1	86	1	1	No	17.451
1	M4P031	4	2	84	1	1	No	1110.495
1	M4P032	4	2	107	18	3	Yes	272.999
1	M4P033	4	2	90	2	2	Yes	0
1	M4P034	4	2	89	2	2	Yes	0
1	M4P035	4	2	99	4	3	Yes	0
1	M4P036	4	2	94	2	1	No	0.4
1	M4P037	4	2	91	2	2	No	52.557
1	M4P038	4	2	105	18	3	Yes	40.589
1	M4P039	4	2	86	1	1	No	0
1	M4P041	4	2	103	8	3	Yes	192.298
1	M4P042	4	2	97	4	3	Yes	19.488
1	M4P043	4	2	83	1	1	No	0
1	M4P044	4	2	101	8	3	Yes	112.947
1	M4P045	4	2	96	4	2	Yes	0
1	M4P046	4	2	104	18	3	Yes	80.27
1	M4P047	4	2	88	1	1	Yes	0
1	M4P048	4	2	93	2	2	Yes	0
1	M4P049	4	2	87	1	1	No	0
1	M4P050	4	2	82	1	1	No	198.008
1	M4P051	4	2	102	8	3	Yes	40.056
1	M4P052	4	2	85	1	1	No	0
1	M4P053	4	2	95	4	2	No	134.559
1	M4P054	4	2	106	18	3	Yes	18.5
1	M4P056	4	2	92	2	2	No	0
1	M4P058	4	2	100	8	3	Yes	152.845
1	M4P060	4	2	98	4	2	No	0
1	R5P003	5	1	108	1	1	No	476.4
1	R5P004	5	1	117	2	2	Yes	705.6
1	R5P005	5	1	5	1	1	No	941.6
1	R5P006	5	1	127	4	3	Yes	325.2
1	R5P007	5	1	131	4	2	Yes	747.6
1	R5P008	5	1	118	2	2	No	578.4
1	R5P009	5	1	135	8	2	No	803.2
1	R5P010	5	1	7	1	1	Yes	334
1	R5P011	5	1	112	1	1	No	228
1	R5P012	5	1	120	2	2	Yes	200
1	R5P013	5	1	113	1	1	No	332.8
1	R5P014	5	1	130	4	2	No	390.8
1	R5P015	5	1	124	4	1	No	642.8
1	R5P016	5	1	116	2	2	Yes	1640.4
1	R5P017	5	1	1	1	1	No	387.2
1	R5P018	5	1	119	2	2	No	339.2
1	R5P019	5	1	126	4	2	Yes	432
1	R5P020	5	1	110	1	1	Yes	234.8
1	R5P021	5	1	136	8	2	Yes	484
1	R5P022	5	1	132	4	2	Yes	268.4
1	R5P023	5	1	114	2	1	No	622
1	R5P024	5	1	121	2	2	Yes	400.4
1	R5P025	5	1	109	1	1	No	405.2
1	R5P026	5	1	111	1	1	No	223.6
1	R5P027	5	1	9	1	1	No	1087.6
1	R5P028	5	1	133	8	3	Yes	330.4
1	R5P029	5	1	135	8	2	No	NA
1	R5P030	5	1	134	8	3	Yes	625.6
1	R5P031	5	1	128	4	3	Yes	467.6
1	R5P032	5	1	115	2	1	No	982
1	R5P033	5	1	122	3	3	Yes	330.4
1	R5P035	5	1	125	4	2	Yes	922.4
1	R5P036	5	1	129	4	2	No	968.8
1	R5P037	5	1	123	3	3	Yes	960
1	R5P038	5	1	124	4	1	No	609.6
1	R5P041	5	2	1	1	1	No	421.2
1	R5P042	5	2	125	4	2	Yes	396.4
1	R5P043	5	2	111	1	1	No	186
1	R5P044	5	2	122	3	3	Yes	757.2
1	R5P045	5	2	135	8	2	No	175.2
1	R5P046	5	2	132	4	2	Yes	465.2
1	R5P047	5	2	131	4	2	Yes	962.4
1	R5P048	5	2	114	2	1	No	676.4
1	R5P049	5	2	119	2	2	No	448
1	R5P050	5	2	123	3	3	Yes	463.6
1	R5P051	5	2	134	8	3	Yes	NA
1	R5P052	5	2	133	8	3	Yes	583.6
1	R5P053	5	2	120	2	2	Yes	264
1	R5P055	5	2	129	4	2	No	781.6
1	R5P056	5	2	127	4	3	Yes	362
1	R5P057	5	2	135	8	2	No	531.2
1	R5P058	5	2	136	8	2	Yes	172.4
1	R5P059	5	2	130	4	2	No	1170.4
1	R5P060	5	2	7	1	1	Yes	266.4
1	R5P061	5	2	118	2	2	No	486.4
1	R5P062	5	2	121	2	2	Yes	843.6
1	R5P063	5	2	9	1	1	No	NA
1	R5P064	5	2	128	4	3	Yes	NA
1	R5P065	5	2	116	2	2	Yes	688.4
1	R5P066	5	2	124	4	1	No	504.4
1	R5P067	5	2	110	1	1	Yes	217.6
1	R5P068	5	2	115	2	1	No	914.4
1	R5P069	5	2	124	4	1	No	557.6
1	R5P070	5	2	112	1	1	No	67.2
1	R5P071	5	2	108	1	1	No	332.8
1	R5P072	5	2	5	1	1	No	844.8
1	R5P073	5	2	117	2	2	Yes	677.6
1	R5P074	5	2	109	1	1	No	696
1	R5P075	5	2	126	4	2	Yes	625.6
1	R5P076	5	2	113	1	1	No	251.2
1	R6P001	6	2	153	4	3	Yes	32.97
1	R6P002	6	2	140	1	1	Yes	56.92
1	R6P003	6	2	10	1	1	No	38.63
1	R6P004	6	2	141	1	1	Yes	38.63
1	R6P005	6	2	137	1	1	No	7.14
1	R6P008	6	1	10	1	1	No	0.53
1	R6P009	6	1	159	12	3	Yes	56.23
1	R6P010	6	1	159	12	3	Yes	70.33
1	R6P011	6	1	141	1	1	Yes	14.43
1	R6P012	6	1	144	2	1	No	67.18
1	R6P013	6	1	153	4	3	Yes	36.02
1	R6P014	6	1	143	1	1	No	0
1	R6P015	6	1	148	2	1	No	2.3
1	R6P017	6	1	158	8	3	Yes	33.76
1	R6P018	6	1	156	8	3	Yes	62
1	R6P019	6	2	149	2	1	Yes	111.33
1	R6P020	6	2	152	4	2	No	62.15746
1	R6P021	6	2	6	1	1	Yes	110.73
1	R6P023	6	2	159	12	3	Yes	67.71
1	R6P024	6	2	158	8	3	Yes	38.3
1	R6P025	6	2	156	8	3	Yes	52.63
1	R6P026	6	2	155	4	3	Yes	67.66
1	R6P027	6	2	151	4	2	Yes	93.78
1	R6P028	6	2	146	2	2	Yes	19.96
1	R6P029	6	2	145	2	2	Yes	129.24
1	R6P030	6	2	113	1	1	No	0
1	R6P031	6	1	151	4	2	Yes	103.44
1	R6P032	6	1	145	2	2	Yes	126.71
1	R6P033	6	1	137	1	1	No	12.13
1	R6P034	6	1	147	2	2	No	0.01
1	R6P035	6	1	7	1	1	Yes	54.02
1	R6P036	6	1	3	1	1	No	145.95
1	R6P037	6	1	155	4	3	Yes	116.58
1	R6P038	6	1	152	4	2	No	86.04
1	R6P040	6	1	142	1	1	No	1.8
1	R6P041	6	1	139	1	1	No	0.03
1	R6P043	6	2	154	4	3	Yes	38.11
1	R6P044	6	2	148	2	1	No	22.12
1	R6P045	6	2	157	8	3	Yes	100.89
1	R6P046	6	2	139	1	1	No	0.01
1	R6P047	6	2	147	2	2	No	0.01
1	R6P048	6	2	3	1	1	No	51.32
1	R6P051	6	2	144	2	1	No	10.27
1	R6P052	6	2	146	2	2	Yes	51.68
1	R6P053	6	2	138	1	1	No	94.98
1	R6P054	6	2	159	12	3	Yes	94.66
1	R6P056	6	1	154	4	3	Yes	86.13
1	R6P057	6	1	140	1	1	Yes	155.7
1	R6P058	6	1	149	2	1	Yes	164.68
1	R6P059	6	1	113	1	1	No	0.73
1	R6P060	6	1	138	1	1	No	67.99
1	R6P062	6	1	150	4	2	Yes	96.46
1	R6P063	6	1	6	1	1	Yes	121.2
1	R6P066	6	1	157	8	3	Yes	138.47
1	R6P067	6	2	143	1	1	No	0
1	R6P068	6	2	7	1	1	Yes	85.52
1	R6P069	6	2	142	1	1	No	0
1	R6P072	6	2	150	4	2	Yes	54.56
1	S7P001	7	1	108	1	1	No	60.8
1	S7P002	7	1	167	2	2	Yes	142.3
1	S7P003	7	1	161	1	1	No	20.4
1	S7P004	7	1	139	1	1	No	23.1
1	S7P005	7	1	176	8	3	Yes	129.5
1	S7P006	7	1	109	1	1	No	7.1
1	S7P007	7	1	165	2	2	No	75.7
1	S7P008	7	1	164	2	1	No	64.1
1	S7P009	7	1	172	4	3	Yes	149.9
1	S7P010	7	1	160	1	1	No	0.2
1	S7P011	7	1	169	4	3	Yes	87.6
1	S7P012	7	1	177	12	3	Yes	75.8
1	S7P013	7	1	168	2	2	Yes	129.5
1	S7P014	7	1	1	1	1	No	9.3
1	S7P015	7	1	171	4	3	Yes	84.2
1	S7P016	7	1	163	1	1	No	0.5
1	S7P017	7	1	141	1	1	Yes	221.6
1	S7P018	7	1	111	1	1	No	10.9
1	S7P019	7	1	174	8	3	Yes	137.7
1	S7P020	7	1	7	1	1	Yes	233.3
1	S7P021	7	1	162	1	1	No	0.4
1	S7P022	7	1	173	8	3	Yes	119.4
1	S7P023	7	1	177	12	3	Yes	77.8
1	S7P024	7	1	9	1	1	No	87.8
1	S7P025	7	1	170	4	3	Yes	97.2
1	S7P026	7	1	175	8	3	Yes	130.8
1	S7P027	7	1	166	2	2	No	96.8
1	S7P028	7	2	175	8	3	Yes	111.2
1	S7P029	7	2	162	1	1	No	0.8
1	S7P030	7	2	168	2	2	Yes	135.5
1	S7P031	7	2	171	4	3	Yes	83.4
1	S7P032	7	2	166	2	2	No	97.8
1	S7P033	7	2	1	1	1	No	9.4
1	S7P034	7	2	177	12	3	Yes	83.4
1	S7P035	7	2	160	1	1	No	0.2
1	S7P036	7	2	169	4	3	Yes	98.9
1	S7P037	7	2	172	4	3	Yes	161
1	S7P038	7	2	111	1	1	No	15.4
1	S7P039	7	2	177	12	3	Yes	87.3
1	S7P040	7	2	173	8	3	Yes	154.4
1	S7P041	7	2	109	1	1	No	8.1
1	S7P042	7	2	170	4	3	Yes	101.8
1	S7P043	7	2	163	1	1	No	1.1
1	S7P044	7	2	176	8	3	Yes	111.7
1	S7P045	7	2	7	1	1	Yes	233.4
1	S7P046	7	2	164	2	1	No	75.2
1	S7P047	7	2	108	1	1	No	82.7
1	S7P048	7	2	9	1	1	No	93
1	S7P049	7	2	161	1	1	No	30.2
1	S7P050	7	2	165	2	2	No	82.3
1	S7P051	7	2	174	8	3	Yes	144.9
1	S7P052	7	2	167	2	2	Yes	169.3
1	S7P053	7	2	141	1	1	Yes	225.4
1	S7P054	7	2	139	1	1	No	19.1
1	S8P001	8	1	187	4	2	No	413.26
1	S8P002	8	1	191	8	1	No	225.795
1	S8P003	8	1	4	1	1	No	607.4
1	S8P005	8	1	113	1	1	No	160.375
1	S8P006	8	1	179	1	1	No	281.45
1	S8P007	8	1	143	1	1	No	545.055
1	S8P008	8	1	189	4	3	Yes	712.3
1	S8P009	8	1	141	1	1	Yes	81.27
1	S8P010	8	1	197	11	2	No	230.7
1	S8P011	8	1	188	4	2	Yes	311.06
1	S8P012	8	1	181	2	1	No	385.38
1	S8P013	8	1	185	4	1	No	322.615
1	S8P014	8	1	183	2	2	Yes	321.09
1	S8P015	8	1	190	4	3	Yes	333.395
1	S8P017	8	1	198	11	2	Yes	323.705
1	S8P018	8	1	2	1	1	No	465.58
1	S8P020	8	1	16	2	2	No	545.725
1	S8P022	8	1	5	1	1	No	540.585
1	S8P023	8	1	182	2	2	Yes	503.235
1	S8P025	8	1	196	11	1	No	538.875
1	S8P026	8	1	108	1	1	No	459.23
1	S8P027	8	1	180	2	1	No	591.245
1	S8P028	8	1	200	11	3	Yes	309.825
1	S8P029	8	1	199	11	3	Yes	382.88
1	S8P031	8	1	192	8	2	No	477.98
1	S8P032	8	1	178	1	1	No	400.5
1	S8P033	8	1	194	8	3	Yes	346.89
1	S8P034	8	1	184	2	2	No	325.99
1	S8P036	8	1	7	1	1	Yes	41.945
1	S8P037	8	1	186	4	1	No	185.5
1	S8P038	8	1	9	1	1	No	511.13
1	S8P039	8	1	193	8	2	Yes	411.4485
1	S8P040	8	1	195	8	3	Yes	804.66
1	S8P042	8	2	186	4	1	No	205.28
1	S8P043	8	2	198	11	2	Yes	547.585
1	S8P044	8	2	7	1	1	Yes	19.035
1	S8P045	8	2	5	1	1	No	695.56
1	S8P046	8	2	187	4	2	No	250.275
1	S8P047	8	2	194	8	3	Yes	292.06
1	S8P048	8	2	184	2	2	No	335.605
1	S8P050	8	2	192	8	2	No	393.37
1	S8P051	8	2	141	1	1	Yes	45.815
1	S8P052	8	2	113	1	1	No	25
1	S8P053	8	2	9	1	1	No	501.19
1	S8P055	8	2	200	11	3	Yes	271.455
1	S8P056	8	2	178	1	1	No	436.5
1	S8P059	8	2	143	1	1	No	436.71
1	S8P060	8	2	195	8	3	Yes	522.655
1	S8P061	8	2	182	2	2	Yes	532.075
1	S8P062	8	2	197	11	2	No	586.865
1	S8P063	8	2	185	4	1	No	514.19
1	S8P064	8	2	16	2	2	No	293.795
1	S8P065	8	2	2	1	1	No	352.325
1	S8P066	8	2	191	8	1	No	539.23
1	S8P068	8	2	179	1	1	No	545.77
1	S8P069	8	2	181	2	1	No	366.335
1	S8P070	8	2	183	2	2	Yes	347.035
1	S8P071	8	2	188	4	2	Yes	497.095
1	S8P072	8	2	199	11	3	Yes	411.235
1	S8P073	8	2	189	4	3	Yes	511.09
1	S8P074	8	2	108	1	1	No	561.3
1	S8P075	8	2	196	11	1	No	307.595
1	S8P076	8	2	193	8	2	Yes	593.165
1	S8P077	8	2	4	1	1	No	338.37
1	S8P078	8	2	190	4	3	Yes	319.525
1	S8P079	8	2	180	2	1	No	498.465
2	B1P001	1	1	5	1	1	No	463.75
2	B1P002	1	1	29	16	3	Yes	1538.65
2	B1P003	1	1	15	2	2	No	674.55
2	B1P004	1	1	7	1	1	Yes	563.4
2	B1P005	1	1	16	2	2	No	567.1
2	B1P006	1	1	8	1	1	No	378.2
2	B1P007	1	1	4	1	1	No	546.45
2	B1P008	1	1	13	2	2	Yes	889.15
2	B1P009	1	1	26	8	3	Yes	1219.2
2	B1P010	1	1	18	4	1	No	277.35
2	B1P011	1	1	30	16	3	Yes	1435.935
2	B1P013	1	1	20	4	2	No	406.5
2	B1P014	1	1	17	2	2	No	411.3
2	B1P015	1	1	24	8	2	Yes	1220.8
2	B1P016	1	1	23	8	1	No	402.6
2	B1P017	1	1	22	4	3	Yes	1223.65
2	B1P018	1	1	6	1	1	Yes	1230.75
2	B1P019	1	1	11	2	1	No	468.1
2	B1P020	1	1	10	1	1	No	270.4
2	B1P021	1	1	3	1	1	No	305.65
2	B1P022	1	1	25	8	2	No	328.6
2	B1P023	1	1	21	4	3	Yes	849.35
2	B1P024	1	1	9	1	1	No	491.5
2	B1P025	1	1	14	2	2	Yes	1291
2	B1P026	1	1	27	8	3	Yes	1057.95
2	B1P027	1	1	12	2	1	No	555
2	B1P028	1	1	28	16	3	Yes	882.3
2	B1P030	1	1	1	1	1	No	265
2	B1P031	1	1	19	4	2	Yes	760.85
2	B1P032	1	1	2	1	1	No	483.65
2	B1P033	1	2	7	1	1	Yes	590.75
2	B1P034	1	2	13	2	2	Yes	1059.8
2	B1P035	1	2	15	2	2	No	643.05
2	B1P036	1	2	22	4	3	Yes	1159.6
2	B1P037	1	2	27	8	3	Yes	1052.775
2	B1P038	1	2	30	16	3	Yes	1392.65
2	B1P039	1	2	1	1	1	No	435.6
2	B1P040	1	2	20	4	2	No	381.35
2	B1P042	1	2	2	1	1	No	572.55
2	B1P043	1	2	9	1	1	No	498.5
2	B1P044	1	2	25	8	2	No	364.2
2	B1P045	1	2	23	8	1	No	413
2	B1P046	1	2	11	2	1	No	365.15
2	B1P047	1	2	8	1	1	No	515.1
2	B1P048	1	2	6	1	1	Yes	1050.9
2	B1P049	1	2	16	2	2	No	449.8
2	B1P050	1	2	18	4	1	No	301.85
2	B1P051	1	2	28	16	3	Yes	1049.7
2	B1P052	1	2	4	1	1	No	424.2
2	B1P053	1	2	10	1	1	No	232.25
2	B1P054	1	2	12	2	1	No	343.1
2	B1P055	1	2	21	4	3	Yes	800.1
2	B1P056	1	2	29	16	3	Yes	1274.4
2	B1P057	1	2	19	4	2	Yes	775.55
2	B1P058	1	2	3	1	1	No	412.85
2	B1P059	1	2	24	8	2	Yes	1092.55
2	B1P060	1	2	14	2	2	Yes	1341
2	B1P062	1	2	17	2	2	No	421.7
2	B1P063	1	2	5	1	1	No	788.05
2	B1P064	1	2	26	8	3	Yes	1195.45
2	C2P001	2	1	38	1	1	No	59.4955
2	C2P002	2	1	5	1	1	No	120.972
2	C2P003	2	1	51	4	3	Yes	338.509
2	C2P004	2	1	45	2	2	No	141.21
2	C2P005	2	1	39	1	1	No	4.2425
2	C2P006	2	1	52	8	3	Yes	356.9145
2	C2P007	2	1	9	1	1	No	169.875
2	C2P008	2	1	3	1	1	No	181.452
2	C2P009	2	1	49	4	3	Yes	160.2165
2	C2P010	2	1	40	1	1	No	NA
2	C2P012	2	1	37	1	1	No	16.569
2	C2P013	2	1	37	1	1	No	14.62
2	C2P014	2	1	36	1	1	Yes	6.39
2	C2P015	2	1	33	1	1	No	147.2535
2	C2P016	2	1	33	1	1	No	204.793
2	C2P017	2	1	34	1	1	Yes	37.751
2	C2P018	2	1	3	1	1	No	276.103
2	C2P019	2	1	32	1	1	No	245.8445
2	C2P020	2	1	49	4	3	Yes	217.925
2	C2P021	2	1	39	1	1	No	NA
2	C2P024	2	1	45	2	2	No	106.654
2	C2P025	2	1	34	1	1	Yes	25.78
2	C2P026	2	1	54	14	3	Yes	392.6458
2	C2P027	2	1	50	4	3	Yes	243.805
2	C2P028	2	1	43	2	1	No	120.418
2	C2P029	2	1	48	4	3	Yes	267.709
2	C2P030	2	1	5	1	1	No	159.106
2	C2P032	2	1	35	1	1	Yes	352.93
2	C2P033	2	1	47	4	3	Yes	82.975
2	C2P034	2	1	31	1	1	No	0.95
2	C2P035	2	1	43	2	1	No	88.219
2	C2P036	2	1	51	4	3	Yes	1089.075
2	C2P038	2	1	38	1	1	No	137.9435
2	C2P039	2	1	44	2	2	No	312.2515
2	C2P040	2	1	54	14	3	Yes	224.5075
2	C2P041	2	1	32	1	1	No	229.239
2	C2P042	2	1	44	2	2	No	254.8435
2	C2P043	2	1	48	4	3	Yes	178.647
2	C2P044	2	1	35	1	1	Yes	345.113
2	C2P045	2	1	50	4	3	Yes	474.5935
2	C2P046	2	1	31	1	1	No	27.9515
2	C2P047	2	1	9	1	1	No	157.155
2	C2P048	2	1	42	2	1	No	229.6955
2	C2P049	2	1	36	1	1	Yes	49.8345
