plot	location	block	composition	species.richness	functional.richness	grasses	legumes	forbs
R6P030	Sweden	2	113	1	1	No	No	Yes
R6P031	Sweden	1	151	4	2	No	Yes	Yes
R6P032	Sweden	1	145	2	2	Yes	Yes	No
R6P033	Sweden	1	137	1	1	Yes	No	No
R6P034	Sweden	1	147	2	2	Yes	No	Yes
R6P035	Sweden	1	7	1	1	No	Yes	No
R6P036	Sweden	1	3	1	1	Yes	No	No
R6P037	Sweden	1	155	4	3	Yes	Yes	Yes
R6P038	Sweden	1	152	4	2	Yes	No	Yes
R6P040	Sweden	1	142	1	1	No	No	Yes
R6P041	Sweden	1	139	1	1	Yes	No	No
R6P043	Sweden	2	154	4	3	Yes	Yes	Yes
R6P044	Sweden	2	148	2	1	No	No	Yes
R6P045	Sweden	2	157	8	3	Yes	Yes	Yes
R6P046	Sweden	2	139	1	1	Yes	No	No
R6P047	Sweden	2	147	2	2	Yes	No	Yes
R6P048	Sweden	2	3	1	1	Yes	No	No
R6P051	Sweden	2	144	2	1	Yes	No	No
R6P052	Sweden	2	146	2	2	No	Yes	Yes
R6P053	Sweden	2	138	1	1	Yes	No	No
R6P054	Sweden	2	159	12	3	Yes	Yes	Yes
R6P056	Sweden	1	154	4	3	Yes	Yes	Yes
R6P057	Sweden	1	140	1	1	No	Yes	No
R6P058	Sweden	1	149	2	1	No	Yes	No
R6P059	Sweden	1	113	1	1	No	No	Yes
R6P060	Sweden	1	138	1	1	Yes	No	No
R6P062	Sweden	1	150	4	2	Yes	Yes	No
R6P063	Sweden	1	6	1	1	No	Yes	No
R6P066	Sweden	1	157	8	3	Yes	Yes	Yes
R6P067	Sweden	2	143	1	1	No	No	Yes
R6P068	Sweden	2	7	1	1	No	Yes	No
R6P069	Sweden	2	142	1	1	No	No	Yes
R6P072	Sweden	2	150	4	2	Yes	Yes	No
S7P001	Sheffield	1	108	1	1	Yes	No	No
S7P002	Sheffield	1	167	2	2	Yes	Yes	No
S7P003	Sheffield	1	161	1	1	No	No	Yes
S7P004	Sheffield	1	139	1	1	Yes	No	No
S7P005	Sheffield	1	176	8	3	Yes	Yes	Yes
S7P006	Sheffield	1	109	1	1	Yes	No	No
S7P007	Sheffield	1	165	2	2	Yes	No	Yes
S7P008	Sheffield	1	164	2	1	Yes	No	No
S7P009	Sheffield	1	172	4	3	Yes	Yes	Yes
S7P010	Sheffield	1	160	1	1	No	No	Yes
S7P011	Sheffield	1	169	4	3	Yes	Yes	Yes
S7P012	Sheffield	1	177	12	3	Yes	Yes	Yes
S7P013	Sheffield	1	168	2	2	Yes	Yes	No
S7P014	Sheffield	1	1	1	1	Yes	No	No
S7P015	Sheffield	1	171	4	3	Yes	Yes	Yes
S7P016	Sheffield	1	163	1	1	No	No	Yes
S7P017	Sheffield	1	141	1	1	No	Yes	No
S7P018	Sheffield	1	111	1	1	No	No	Yes
S7P019	Sheffield	1	174	8	3	Yes	Yes	Yes
S7P020	Sheffield	1	7	1	1	No	Yes	No
S7P021	Sheffield	1	162	1	1	No	No	Yes
S7P022	Sheffield	1	173	8	3	Yes	Yes	Yes
S7P023	Sheffield	1	177	12	3	Yes	Yes	Yes
S7P024	Sheffield	1	9	1	1	No	No	Yes
S7P025	Sheffield	1	170	4	3	Yes	Yes	Yes
S7P026	Sheffield	1	175	8	3	Yes	Yes	Yes
S7P027	Sheffield	1	166	2	2	Yes	No	Yes
S7P028	Sheffield	2	175	8	3	Yes	Yes	Yes
S7P029	Sheffield	2	162	1	1	No	No	Yes
S7P030	Sheffield	2	168	2	2	Yes	Yes	No
S7P031	Sheffield	2	171	4	3	Yes	Yes	Yes
S7P032	Sheffield	2	166	2	2	Yes	No	Yes
S7P033	Sheffield	2	1	1	1	Yes	No	No
S7P034	Sheffield	2	177	12	3	Yes	Yes	Yes
S7P035	Sheffield	2	160	1	1	No	No	Yes
S7P036	Sheffield	2	169	4	3	Yes	Yes	Yes
S7P037	Sheffield	2	172	4	3	Yes	Yes	Yes
S7P038	Sheffield	2	111	1	1	No	No	Yes
S7P039	Sheffield	2	177	12	3	Yes	Yes	Yes
S7P040	Sheffield	2	173	8	3	Yes	Yes	Yes
S7P041	Sheffield	2	109	1	1	Yes	No	No
S7P042	Sheffield	2	170	4	3	Yes	Yes	Yes
S7P043	Sheffield	2	163	1	1	No	No	Yes
S7P044	Sheffield	2	176	8	3	Yes	Yes	Yes
S7P045	Sheffield	2	7	1	1	No	Yes	No
S7P046	Sheffield	2	164	2	1	Yes	No	No
S7P047	Sheffield	2	108	1	1	Yes	No	No
S7P048	Sheffield	2	9	1	1	No	No	Yes
S7P049	Sheffield	2	161	1	1	No	No	Yes
S7P050	Sheffield	2	165	2	2	Yes	No	Yes
S7P051	Sheffield	2	174	8	3	Yes	Yes	Yes
S7P052	Sheffield	2	167	2	2	Yes	Yes	No
S7P053	Sheffield	2	141	1	1	No	Yes	No
S7P054	Sheffield	2	139	1	1	Yes	No	No
S8P001	Silwood	1	187	4	2	Yes	No	Yes
S8P002	Silwood	1	191	8	1	Yes	No	No
S8P003	Silwood	1	4	1	1	Yes	No	No
S8P005	Silwood	1	113	1	1	No	No	Yes
S8P006	Silwood	1	179	1	1	No	No	Yes
S8P007	Silwood	1	143	1	1	No	No	Yes
S8P008	Silwood	1	189	4	3	Yes	Yes	Yes
S8P009	Silwood	1	141	1	1	No	Yes	No
S8P010	Silwood	1	197	11	2	Yes	No	Yes
S8P011	Silwood	1	188	4	2	Yes	Yes	No
S8P012	Silwood	1	181	2	1	Yes	No	No
S8P013	Silwood	1	185	4	1	Yes	No	No
S8P014	Silwood	1	183	2	2	Yes	Yes	No
S8P015	Silwood	1	190	4	3	Yes	Yes	Yes
S8P017	Silwood	1	198	11	2	Yes	Yes	No
S8P018	Silwood	1	2	1	1	Yes	No	No
S8P020	Silwood	1	16	2	2	Yes	No	Yes
S8P022	Silwood	1	5	1	1	Yes	No	No
S8P023	Silwood	1	182	2	2	Yes	Yes	No
S8P025	Silwood	1	196	11	1	Yes	No	No
S8P026	Silwood	1	108	1	1	Yes	No	No
S8P027	Silwood	1	180	2	1	Yes	No	No
S8P028	Silwood	1	200	11	3	Yes	Yes	Yes
S8P029	Silwood	1	199	11	3	Yes	Yes	Yes
S8P031	Silwood	1	192	8	2	Yes	No	Yes
S8P032	Silwood	1	178	1	1	No	No	Yes
S8P033	Silwood	1	194	8	3	Yes	Yes	Yes
S8P034	Silwood	1	184	2	2	Yes	No	Yes
S8P036	Silwood	1	7	1	1	No	Yes	No
S8P037	Silwood	1	186	4	1	Yes	No	No
S8P038	Silwood	1	9	1	1	No	No	Yes
S8P039	Silwood	1	193	8	2	Yes	Yes	No
S8P040	Silwood	1	195	8	3	Yes	Yes	Yes
S8P042	Silwood	2	186	4	1	Yes	No	No
S8P043	Silwood	2	198	11	2	Yes	Yes	No
S8P044	Silwood	2	7	1	1	No	Yes	No
S8P045	Silwood	2	5	1	1	Yes	No	No
S8P046	Silwood	2	187	4	2	Yes	No	Yes
S8P047	Silwood	2	194	8	3	Yes	Yes	Yes
S8P048	Silwood	2	184	2	2	Yes	No	Yes
S8P050	Silwood	2	192	8	2	Yes	No	Yes
S8P051	Silwood	2	141	1	1	No	Yes	No
S8P052	Silwood	2	113	1	1	No	No	Yes
S8P053	Silwood	2	9	1	1	No	No	Yes
S8P055	Silwood	2	200	11	3	Yes	Yes	Yes
S8P056	Silwood	2	178	1	1	No	No	Yes
S8P059	Silwood	2	143	1	1	No	No	Yes
S8P060	Silwood	2	195	8	3	Yes	Yes	Yes
S8P061	Silwood	2	182	2	2	Yes	Yes	No
S8P062	Silwood	2	197	11	2	Yes	No	Yes
S8P063	Silwood	2	185	4	1	Yes	No	No
S8P064	Silwood	2	16	2	2	Yes	No	Yes
S8P065	Silwood	2	2	1	1	Yes	No	No
S8P066	Silwood	2	191	8	1	Yes	No	No
S8P068	Silwood	2	179	1	1	No	No	Yes
S8P069	Silwood	2	181	2	1	Yes	No	No
S8P070	Silwood	2	183	2	2	Yes	Yes	No
S8P071	Silwood	2	188	4	2	Yes	Yes	No
S8P072	Silwood	2	199	11	3	Yes	Yes	Yes
S8P073	Silwood	2	189	4	3	Yes	Yes	Yes
S8P074	Silwood	2	108	1	1	Yes	No	No
S8P075	Silwood	2	196	11	1	Yes	No	No
S8P076	Silwood	2	193	8	2	Yes	Yes	No
S8P077	Silwood	2	4	1	1	Yes	No	No
S8P078	Silwood	2	190	4	3	Yes	Yes	Yes
S8P079	Silwood	2	180	2	1	Yes	No	No
