"","bibkey","author","journal","year","vol","num","pages","title","doi"
"53","WOS053","Armengot, Laura; Barbieri, Pietro; Andres, Christian; Milz, Joachim; Schneider, Monika","Agronomy for Sustainable Development",2016,"36","4","70","Cacao agroforestry systems have higher return on labor compared to full-sun monocultures","10.1007/s13593-016-0406-6"
"54","WOS054","Waterton, Joseph; Cleland, Elsa E.","Ecology and Evolution",2016,"6","24","8942--8953","Trade-off between early emergence and herbivore susceptibility mediates exotic success in an experimental California plant community","10.1002/ece3.2610"
"55","WOS055","Hughes, A. Randall; Hanley, Torrance C.; Schenck, Forest R.; Hays, Cynthia G.","Ecology",2016,"97","12","3538--3546","Genetic diversity of seagrass seeds influences seedling morphology and biomass","10.1002/ecy.1587"
"56","WOS056","Van de Peer, Thomas; Verheyen, Kris; Baeten, Lander; Ponette, Quentin; Muys, Bart","Journal of Applied Ecology",2016,"53","6","1777--1786","Biodiversity as insurance for sapling survival in experimental tree plantations","10.1111/1365-2664.12721"
"57","WOS057","Gilman, Alex C.; Letcher, Susan G.; Fincher, Rita M.; Perez, Ashley I.; Madell, Tyler W.; Finkelstein, Alex L.; Corrales-Araya, Felix","Biotropica",2016,"48","6","798--808","Recovery of floristic diversity and basal area in natural forest regeneration and planted plots in a Costa Rican wet forest","10.1111/btp.12361"
"58","WOS058","Sjöqvist, Conny O.; Kremp, Anke","The ISME Journal",2016,"10","11","2755--2766","Genetic diversity affects ecological performance and stress response of marine diatom populations","10.1038/ismej.2016.44"
"59","WOS059","Ma, Zilong; Chen, Han Y H","Global Ecology and Biogeography",2016,"25","11","1387--1396","Effects of species diversity on fine root productivity in diverse ecosystems: a global meta-analysis","10.1111/geb.12488"
"60","WOS060","Damien, Maxime; Jactel, Hervé; Meredieu, Céline; Régolini, Margot; van Halder, Inge; Castagneyrol, Bastien","Forest Ecology and Management",2016,"378",NA,"103--110","Pest damage in mixed forests: Disentangling the effects of neighbor identity, host density and host apparency at different spatial scales","10.1016/j.foreco.2016.07.025"
"61","WOS061","Steinauer, Katja; Chatzinotas, Antonis; Eisenhauer, Nico","Ecology and Evolution",2016,"6","20","7387--7396","Root exudate cocktails: the link between plant diversity and soil microorganisms?","10.1002/ece3.2454"
"62","WOS062","Liao, Huixuan; Luo, Wenbo; Pal, Robert; Peng, Shaolin; Callaway, Ragan M.","Biological Invasions",2016,"18","10","3063--3079","Context-dependency and the effects of species diversity on ecosystem function","10.1007/s10530-016-1202-6"
"63","WOS063","Araújo, André V.; Partelli, Fábio L.; Oliosi, Gleison; Pezzopane, José R. M.","Revista Ciência Agronômica",2016,"47","4","700--709","Microclimate, development and productivity of robusta coffee shaded by rubber trees and at full sun","10.5935/1806-6690.20160084"
"64","WOS064","Bybee-Finley, K. Ann; Mirsky, Steven B.; Ryan, Matthew R.","Crop Science",2016,"56","5","2775--2790","Functional diversity in summer annual grass and legume intercrops in the northeastern United States","10.2135/cropsci2016.01.0046"
"65","WOS065","Schaller, Jörg; Roscher, Christiane; Hillebrand, Helmut; Weigelt, Alexandra; Oelmann, Yvonne; Wilcke, Wolfgang; Ebeling, Anne; Weisser, Wolfgang W.","Oecologia",2016,"182","1","277--286","Plant diversity and functional groups affect Si and Ca pools in aboveground biomass of grassland systems","10.1007/s00442-016-3647-9"
"66","WOS066","Barkaoui, Karim; Roumet, Catherine; Volaire, Florence","Agriculture, Ecosystems and Environment",2016,"231",NA,"122--132","Mean root trait more than root trait diversity determines drought resilience in native and cultivated Mediterranean grass mixtures","10.1016/j.agee.2016.06.035"
"67","WOS067","Heim, Amy; Lundholm, Jeremy","Ecological Engineering",2016,"94",NA,"82--87","Phenological complementarity in plant growth and reproduction in a green roof ecosystem","10.1016/j.ecoleng.2016.05.018"
"68","WOS068","Frasier, Ileana; Quiroga, Alberto; Noellemeyer, Elke","Science of The Total Environment",2016,"562",NA,"628--639","Effect of different cover crops on C and N cycling in sorghum NT systems","10.1016/j.scitotenv.2016.04.058"
"69","WOS069","Seidelmann, Katrin N.; Scherer-Lorenzen, Michael; Niklaus, Pascal A.","PLoS ONE",2016,"11","8","e0160569","Direct vs. Microclimate-Driven Effects of Tree Species Diversity on Litter Decomposition in Young Subtropical Forest Stands","10.1371/journal.pone.0160569"
"70","WOS070","McKenna, Thomas P.; Yurkonis, Kathryn A.","Ecology and Evolution",2016,"6","16","5788--5795","Across species-pool aggregation alters grassland productivity and diversity","10.1002/ece3.2325"
"71","WOS071","Kulmatiski, Andrew; Beard, Karen H.; Grenzer, Josephine; Forero, Leslie; Heavilin, Justin","Ecology",2016,"97","8","2064--2073","Using plant-soil feedbacks to predict plant biomass in diverse communities","10.1890/15-2037.1"
"72","WOS072","Dziedek, Christoph; Härdtle, Werner; von Oheimb, Goddert; Fichtner, Andreas","Frontiers in Plant Science",2016,"7","1100",NA,"Nitrogen Addition Enhances Drought Sensitivity of Young Deciduous Tree Species","10.3389/fpls.2016.01100"
"73","WOS073","Song, Jie; Li, Shuxian; Xu, Yanli; Wei, Wei; Yao, Qin; Pan, Fengjuan","Acta Agriculturae Scandinavica, Section B â€” Soil & Plant Science",2016,"66","5","432--442","Diversity of parasitic fungi from soybean cyst nematode associated with long-term continuous cropping of soybean in black soil","10.1080/09064710.2016.1158862"
"74","WOS074","Chang, C. L.; Zhou, X. G.; Fu, X. P.; Yang, S. C.; Wu, F. Z.","Allelopathy Journal",2016,"38","2","133--146","Soil enzymes and bacterial community composition in cucumber (Cucumis sativus L.) monocropping and companion cropping systems",NA
"75","WOS075","Kwiatkowski, C. A.; Harasim, E.; Wesolowski, M.","Journal of Agricultural Science and Technology",2016,"18","4","999--1012","Effects of Catch Crops and Tillage System on Weed Infestation and Health of Spring Wheat",NA
"76","WOS076","Siebenkäs, Alrun; Roscher, Christiane","Plant and Soil",2016,"404","1-2","399--412","Functional composition rather than species richness determines root characteristics of experimental grasslands grown at different light and nutrient availability","10.1007/s11104-016-2853-x"
"77","WOS077","Siebenkäs, Alrun; Schumacher, Jens; Roscher, Christiane","PLoS ONE",2016,"11","6","e0158110","Resource Availability Alters Biodiversity Effects in Experimental Grass-Forb Mixtures","10.1371/journal.pone.0158110"
"78","WOS078","Roscher, Christiane; Schmid, Bernhard; Kolle, Olaf; Schulze, Ernst-Detlef","Oecologia",2016,"181","2","571--582","Complementarity among four highly productive grassland species depends on resource availability","10.1007/s00442-016-3587-4"
"79","WOS079","Tobner, Cornelia M.; Paquette, Alain; Gravel, Dominique; Reich, Peter B.; Williams, Laura J.; Messier, Christian","Ecology Letters",2016,"19","6","638--647","Functional identity is the main driver of diversity effects in young tree communities","10.1111/ele.12600"
"80","WOS080","Craven, Dylan; Isbell, Forest; Manning, Pete; Connolly, John; Bruelheide, Helge; Ebeling, Anne; Roscher, Christiane; van Ruijven, Jasper; Weigelt, Alexandra; Wilsey, Brian; Beierkuhnlein, Carl; de Luca, Enrica; Griffin, John N.; Hautier, Yann; Hector, Andy; Jentsch, Anke; Kreyling, Jürgen; Lanta, Vojtech; Loreau, Michel; Meyer, Sebastian T.; Mori, Akira S.; Naeem, Shahid; Palmborg, Cecilia; Polley, H. Wayne; Reich, Peter B.; Schmid, Bernhard; Siebenkäs, Alrun; Seabloom, Eric; Thakur, Madhav P.; Tilman, David; Vogel, Anja; Eisenhauer, Nico","Philosophical Transactions of the Royal Society B: Biological Sciences",2016,"371","1694","20150277","Plant diversity effects on grassland productivity are robust to both nutrient enrichment and drought","10.1098/rstb.2015.0277"
"81","WOS081","Grilli, Gianluca; Jonkisz, Jaroslaw; Ciolli, Marco; Lesinski, Jerzy","Forest Policy and Economics",2016,"66",NA,"11--17","Mixed forests and ecosystem services: Investigating stakeholders' perceptions in a case study in the Polish Carpathians","10.1016/j.forpol.2016.02.003"
"82","WOS082","Trogisch, Stefan; Salmon, Yann; He, Jin-Sheng; Hector, Andy; Scherer-Lorenzen, Michael","Forest Ecology and Management",2016,"367",NA,"52--61","Spatio-temporal water uptake patterns of tree saplings are not altered by interspecific interaction in the early stage of a subtropical forest","10.1016/j.foreco.2016.02.018"
"83","WOS083","Hernandez, Pauline; Picon-Cochard, Catherine","Frontiers in Plant Science",2016,"7",NA,"1--14","Presence of Trifolium repens Promotes Complementarity of Water Use and N Facilitation in Diverse Grass Mixtures","10.3389/fpls.2016.00538"
"84","WOS084","Nguyen, Diem; Castagneyrol, Bastien; Bruelheide, Helge; Bussotti, Filippo; Guyot, Virginie; Jactel, Hervé; Jaroszewicz, Bogdan; Valladares, Fernando; Stenlid, Jan; Boberg, Johanna","Ecology and Evolution",2016,"6","8","2426--2438","Fungal disease incidence along tree diversity gradients depends on latitude in European forests","10.1002/ece3.2056"
"85","WOS085","Dillen, Mathias; Vanhellemont, Margot; Verdonckt, Pieter; Maes, Wouter H.; Steppe, Kathy; Verheyen, Kris","Biomass and Bioenergy",2016,"87",NA,"46--54","Productivity, stand dynamics and the selection effect in a mixed willow clone short rotation coppice plantation","10.1016/j.biombioe.2016.02.013"
"86","WOS086","Korol, Alicia R.; Ahn, Changwoo","Journal of Plant Ecology",2016,"9","2","187--200","Dominance by an obligate annual affects the morphological characteristics and biomass production of a planted wetland macrophyte community","10.1093/jpe/rtv041"
"87","WOS087","Zuppinger-Dingley, Debra Leanne; Flynn, Dan F. B.; De Deyn, Gerlinde Barbra; Petermann, Jana S.; Schmid, Bernhard","Ecology",2015,"97","4","918--928","Plant selection and soil legacy enhance long-term biodiversity effects","10.1890/15-0599.1"
"88","WOS088","Ramus, Aaron P.; Long, Zachary T.","Journal of Ecology",2016,"104","2","572--579","Producer diversity enhances consumer stability in a benthic marine community","10.1111/1365-2745.12509"
"89","WOS089","Forrester, David I.; Bauhus, Jürgen","Current Forestry Reports",2016,"2","1","45--61","A Review of Processes Behind Diversity-Productivity Relationships in Forests","10.1007/s40725-016-0031-2"
"90","WOS090","Cowles, Jane M.; Wragg, Peter D.; Wright, Alexandra J.; Powers, Jennifer S.; Tilman, David","Global Change Biology",2016,"22","2","741--749","Shifting grassland plant community structure drives positive interactive effects of warming and diversity on aboveground net primary productivity","10.1111/gcb.13111"
"91","WOS091","Abdala-Roberts, Luis; González-Moreno, Alejandra; Mooney, Kailen A.; Moreira, Xoaquín; González-Hernández, Alejandro; Parra-Tabla, Víctor","Agricultural and Forest Entomology",2016,"18","1","43--51","Effects of tree species diversity and genotypic diversity on leafminers and parasitoids in a tropical forest plantation","10.1111/afe.12132"
"92","WOS092","Mo, Qifeng; Li, Zhi'an; Zhu, Weixing; Zou, Bi; Li, Yingwen; Yu, Shiqin; Ding, Yongzhen; Chen, Yao; Li, Xiaobo; Wang, Faming","Scientific Reports",2016,"6","1","19770","Reforestation in southern China: revisiting soil N mineralization and nitrification after 8 years restoration","10.1038/srep19770"
"93","WOS093","Vrtilek, Petr; Handlirova, Martina; Smutny, Vladimir","Proceedings Of International PhD Students Conference, (Mendelint 2016)",2016,NA,"183-188",NA,"Growing winter wheat varieties and their mixtures on different sites in terms of yields, quality, and economy",NA
"94","WOS094","Eisenhauer, Nico","Pedobiologia",2016,"59","4","175--177","Plant diversity effects on soil microorganisms: Spatial and temporal heterogeneity of plant inputs increase soil biodiversity","10.1016/j.pedobi.2016.04.004"
